lo,hi,count_thousands,share_pct,label
0,25000,18206.0,13.506636101281224,Under $25k
25000,50000,22475.0,16.673714510397424,$25k-$50k
50000,75000,20288.0,15.051226695748296,$50k-$75k
75000,100000,16130.0,11.966496776538841,$75k-$100k
100000,125000,12886.0,9.559843612057007,$100k-$125k
125000,150000,9595.0,7.118322168065108,$125k-$150k
150000,175000,7991.0,5.928349394998256,$150k-$175k
175000,200000,5679.0,4.213126794418108,$175k-$200k
200000,250000,7883.0,5.848226539953855,$200k-$250k
250000,,13660.0,10.134057406541883,$250k+
