date,total_trade_aud_thousands
2024-01-01,78304536.12500001
2024-02-01,77650276.38000004
2024-03-01,79711395.179
2024-04-01,76372078.3570001
2024-05-01,81105441.49700004
2024-06-01,78584431.29200001
2024-07-01,79499102.32499997
2024-08-01,77960831.538
2024-09-01,74502025.429
2024-10-01,79471439.684
2024-11-01,79346007.48399998
2024-12-01,84348225.97600004
2025-01-01,79023064.61899996
2025-02-01,72548755.67200004
2025-03-01,80955960.94500005
2025-04-01,77827116.76799996
2025-05-01,81447811.436
2025-06-01,85169238.09799993
2025-07-01,82422314.16700007
2025-08-01,79023721.10599999
2025-09-01,83456338.14199999
2025-10-01,89305222.59799995
2025-11-01,84528924.31700005
2025-12-01,88078275.24499995
2026-01-01,83557267.69399999
2026-02-01,78279318.645
