country,iso3,exports_bn,imports_bn,trade_deficit_bn,reciprocal_tariff
Algeria,DZA,1.0,2.5,-1.5,0.3
Angola,AGO,0.6824,1.9,-1.2176,0.32
Bangladesh,BGD,2.2,8.4,-6.2,0.37
Bosnia and Herzegovina**,BIH,0.053,0.17909999999999998,-0.1261,0.35
Botswana,BWA,0.1043,0.4051,-0.3008,0.37
Brunei,BRN,0.1272,0.2388,-0.1116,0.24
Cambodia,KHM,0.3216,12.7,-12.3784,0.49
Cameroon,CMR,0.1931,0.24880000000000002,-0.05570000000000003,0.11
Chad,TCD,0.0599,0.0808,-0.020899999999999995,0.13
China,CHN,143.5,438.9,-295.4,0.34
Côte d`Ivoire,,0.5966,1.0,-0.4034,0.21
Democratic Republic of the Congo,,0.2533,0.3231,-0.06979999999999997,0.11
Equatorial Guinea,GNQ,0.09540000000000001,0.1276,-0.03219999999999998,0.13
European Union,EUU,370.2,605.8,-235.59999999999997,0.2
Falkland Islands**,FLK,4.1000000000000006e-06,0.0228,-0.0227959,0.41
Fiji**,FJI,0.0947,0.25930000000000003,-0.16460000000000002,0.32
Guyana**,GUY,1.3149,5.3755,-4.0606,0.38
India,IND,41.8,87.4,-45.60000000000001,0.26
Indonesia,IDN,10.2,28.1,-17.900000000000002,0.32
Iraq,IRQ,1.7,7.4,-5.7,0.39
Israel,ISR,14.8,22.2,-7.399999999999999,0.17
Japan,JPN,79.7,148.2,-68.49999999999999,0.24
Jordan,JOR,2.0,3.4,-1.4,0.2
Kazakhstan,KAZ,1.1,2.3,-1.1999999999999997,0.27
Laos,LAO,0.0404,0.8032999999999999,-0.7628999999999999,0.48
Lesotho,LSO,0.0028,0.2373,-0.23450000000000001,0.49410029498525077
Libya,LBY,0.5672,1.5,-0.9328,0.31
Liechtenstein,LIE,0.0062699999999999995,0.02213,-0.01586,0.37
Madagascar,MDG,0.053399999999999996,0.7332000000000001,-0.6798000000000001,0.47
Malawi,MWI,0.0269,0.041100000000000005,-0.014200000000000004,0.17274939172749396
Malaysia,MYS,27.7,52.5,-24.8,0.2361904761904762
Mauritius,MUS,0.048,0.2345,-0.1865,0.4
Moldova**,MDA,0.0536,0.1365,-0.0829,0.31
Mozambique,MOZ,0.1497,0.2161,-0.06639999999999999,0.16
Myanmar (Burma),MMR,0.077,0.6565,-0.5795,0.44
Namibia,NAM,0.1605,0.2752,-0.1147,0.21
Nauru**,NRU,0.0009,0.0022,-0.0013000000000000002,0.3
Nicaragua,NIC,2.9,4.6,-1.6999999999999997,0.18
Nigeria,NGA,4.2,5.7,-1.5,0.14
North Macedonia**,MKD,0.0606,0.1737,-0.11309999999999999,0.33
Norway,NOR,4.6,6.6,-2.0,0.15
Pakistan,PAK,2.1,5.1,-2.9999999999999996,0.29
Philippines,PHL,9.3,14.2,-4.899999999999999,0.17
Serbia**,SRB,0.2099,0.8144,-0.6045,0.37
South Africa,ZAF,5.8,14.7,-8.899999999999999,0.3
South Korea,KOR,65.5,131.5,-66.0,0.25
Sri Lanka,LKA,0.36819999999999997,3.0,-2.6318,0.44
Switzerland,CHE,25.0,63.4,-38.4,0.31
Syria**,SYR,0.002,0.0107,-0.0087,0.41
Taiwan,TWN,42.3,116.3,-74.0,0.32
Thailand,THA,17.7,63.3,-45.599999999999994,0.36
Tunisia,TUN,0.5036,1.1,-0.5964,0.28
Vanuatu**,VUT,0.0076,0.013699999999999999,-0.006099999999999999,0.22
Venezuela,VEN,4.2,6.0,-1.7999999999999998,0.15
Vietnam,VNM,13.1,136.6,-123.5,0.46
Zambia,ZMB,0.1138,0.1691,-0.0553,0.17
Zimbabwe,ZWE,0.0438,0.0678,-0.024,0.18
