0,1,2,3,4,5,6,7,8,9,10
"Figure 5. Short-Run Distributional Effects of Tariffs as of February 20, 2026",,,,,,,,,,
"Subtitle: Through February 20, 2026. By household income decile",,,,,,,,,,
"Source: GTAP v7, Census, BLS, BEA, The Budget Lab analysis.",,,,,,,,,,
,,,,,,,,,,
,Decile,,,,,,,,,
Burden Measure,1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
,,,,,,,,,,
,,,,,,,,,,
Current Policy,,,,,,,,,,
Percent of post-tax-and-transfer income,-1.1432120801195,-0.705579402640177,-0.680969494240859,-0.604670057028713,-0.61949698134786,-0.610592232975065,-0.581825724016372,-0.560822147723684,-0.514386087788676,-0.361792463519596
In 2025 USD,-429.859174245732,-426.896705979386,-502.984497531125,-520.506031790886,-625.406982549919,-710.649982192689,-795.937590454397,-919.215541226504,-1068.35932889357,-1809.47606289618
,,,,,,,,,,
IEEPA Upheld,,,,,,,,,,
Percent of post-tax-and-transfer income,-2.46015790701957,-1.51838558796014,-1.46542580753752,-1.30123172052352,-1.33313881434702,-1.31397606449481,-1.25207140506829,-1.20687234254024,-1.10694334248279,-0.778566466630398
In 2025 USD,-925.043974618428,-918.668832283522,-1082.40746422144,-1120.11327734385,-1345.85695863589,-1529.29732218357,-1712.83368213342,-1978.12411304058,-2299.07704460305,-3893.9378975346
