0,1,2,3,4,5,6
"Table 2: Average Effective US Tariff Rate by Region, using Tariff Policy as of February 20, 2026",,,,,,
Subtitle: Pre- and post-substitution,,,,,,
"Source: GTAP v7, The Budget Lab analysis.",,,,,,
,,,,,,
,,,,,,
,Average Effective Tariff Rate,,Share of Goods Imports,,Contribution,
,Pre-Substitution,Post-Substitution,Pre-Substitution,Post-Substitution,Pre-Substitution,Post-Substitution
  Current Policy,,,,,,
China,8.31289953990875,6.83841216199239,0.133808291343845,0.119731231263809,1.11233488354822,0.818771508044751
Canada,5.75238919824297,4.08696026639274,0.125638177399534,0.13563762272874,0.722719694560015,0.55434557472033
Mexico,10.1664067358074,9.2309630674942,0.157378472382499,0.157409676405424,1.59997356170051,1.45304290936468
Rest of World,5.63174064538255,4.6392444857307,0.583175058874122,0.587221469602027,3.28429068243476,2.72426396475388
Total,6.7193188222435,5.55042395688365,1,1,6.7193188222435,5.55042395688365
,,,,,,
IEEPA Upheld,,,,,,
China,24.0217942370347,22.8343321918538,0.133808291343845,0.0859305527620079,3.21431524187103,1.96216678719731
Canada,8.12433654149082,5.31964444086069,0.125638177399534,0.158246279494636,1.02072683565334,0.84181394100053
Mexico,12.7801017320835,11.1366635695603,0.157378472382499,0.186945208440704,2.01131288748822,2.08194589234545
Rest of World,14.08396381383,12.3843542434231,0.583175058874122,0.568877959302651,8.21341642631129,7.04518616927969
Total,14.4597713913239,11.931112789823,1,1,14.4597713913239,11.931112789823
