decile,decile_label,scenario,pct_income_lost,usd_cost,most_affected_goods
1,Decile 1,Current Policy (S122),1.1432,429.86,"Apparel, shoes, food"
1,Decile 1,IEEPA Upheld,2.4602,925.04,"Apparel, shoes, food"
2,Decile 2,Current Policy (S122),0.7056,426.9,"Apparel, shoes, food"
2,Decile 2,IEEPA Upheld,1.5184,918.67,"Apparel, shoes, food"
3,Decile 3,Current Policy (S122),0.681,502.98,"Clothing, household basics"
3,Decile 3,IEEPA Upheld,1.4654,1082.41,"Clothing, household basics"
4,Decile 4,Current Policy (S122),0.6047,520.51,"Clothing, household basics"
4,Decile 4,IEEPA Upheld,1.3012,1120.11,"Clothing, household basics"
5,Decile 5,Current Policy (S122),0.6195,625.41,"Electronics, furniture"
5,Decile 5,IEEPA Upheld,1.3331,1345.86,"Electronics, furniture"
6,Decile 6,Current Policy (S122),0.6106,710.65,"Electronics, furniture"
6,Decile 6,IEEPA Upheld,1.314,1529.3,"Electronics, furniture"
7,Decile 7,Current Policy (S122),0.5818,795.94,"Electronics, appliances"
7,Decile 7,IEEPA Upheld,1.2521,1712.83,"Electronics, appliances"
8,Decile 8,Current Policy (S122),0.5608,919.22,"Vehicles, appliances"
8,Decile 8,IEEPA Upheld,1.2069,1978.12,"Vehicles, appliances"
9,Decile 9,Current Policy (S122),0.5144,1068.36,"Vehicles, luxury goods"
9,Decile 9,IEEPA Upheld,1.1069,2299.08,"Vehicles, luxury goods"
10,Decile 10,Current Policy (S122),0.3618,1809.48,"Vehicles, financial assets"
10,Decile 10,IEEPA Upheld,0.7786,3893.94,"Vehicles, financial assets"
