eff_tariff_rate,date,trade_balance
2.5,2024-01-01,-67077
2.5,2024-02-01,-66431
2.5,2024-03-01,-66266
2.5,2024-04-01,-73110
2.5,2024-05-01,-74456
2.5,2024-06-01,-73892
2.5,2024-07-01,-78639
2.5,2024-08-01,-71214
2.5,2024-09-01,-81498
2.5,2024-10-01,-74250
2.5,2024-11-01,-79752
2.5,2024-12-01,-96948
2.5,2025-01-01,-128331
7.0,2025-02-01,-119780
10.0,2025-03-01,-135856
27.0,2025-04-01,-60084
17.0,2025-05-01,-70564
17.0,2025-06-01,-57637
20.0,2025-07-01,-74233
20.0,2025-08-01,-56011
18.0,2025-09-01,-49168
15.0,2025-10-01,-31102
15.0,2025-11-01,-56026
14.0,2025-12-01,-72900
14.0,2026-01-01,-54677
13.0,2026-02-01,-57347
