Country;US 2024 Deficit;US 2024 Exports;US 2024 Imports (Customs Basis);Trump Tariffs Alleged;Trump Response;Population
Afghanistan;-11.1;11.4;22.6;49%;25%;41454761
Albania;13.4;141.7;128.3;10%;10%;2745972
Algeria;-1,447.10;1,014.50;2,461.60;59%;29%;46164219
Andorra;1.5;4.9;3.4;10%;10%;80856
Angola;-1,186.90;682.4;1,869.20;63%;32%;36749906
Anguilla;71.3;72.5;1.2;10%;10%;
Antigua and Barbuda;550;573.8;23.8;10%;10%;93316
Argentina;2,078.80;9,171.00;7,092.20;10%;10%;45538401
Armenia;39.2;160.8;121.6;10%;10%;2990900
Aruba;714.8;725.5;10.7;10%;10%;107359
Australia*;17,907.80;34,593.30;16,685.50;10%;10%;26658948
Azerbaijan;97.3;255.1;157.8;10%;10%;10153958
Bahamas;3,847.40;5,639.70;1,792.40;10%;10%;399440
Bahrain*;441.9;1,646.20;1,204.30;10%;10%;1577059
Bangladesh;-6,151.80;2,214.00;8,365.80;74%;37%;171466990
Barbados;724;772.6;48.6;10%;10%;282336
Belarus;-9.4;10.6;20;47%;24%;9178298
Belize;509.3;590.4;81.1;10%;10%;411106
Benin;167.8;216.4;48.6;10%;10%;14111034
Bermuda;517.1;540.4;23.3;10%;10%;64698
Bhutan;0.1;3.4;3.3;10%;10%;780914
Bolivia;-103.1;401;504.1;20%;10%;12244159
Bosnia and Herzegovina;-126.1;53;179.1;70%;35%;3185073
Botswana;-300.8;104.3;405.1;74%;37%;2480244
Brazil;7,350.70;49,667.00;42,316.30;10%;10%;211140729
British Indian Ocean Territories;5;5.5;0.5;10%;10%;
British Virgin Islands;252.7;312.9;60.2;10%;10%;38985
Brunei;-111.6;127.2;238.8;47%;23%;458949
Burkina Faso;49.8;54.4;4.5;10%;10%;23025776
Burma;-579.3;77.2;656.5;88%;44%;
Burundi;2.9;6.6;3.7;10%;10%;13689450
Cabo Verde;7.8;12.2;4.5;10%;10%;522331
Cambodia;-12,340.20;321.6;12,661.80;97%;49%;17423880
Cameroon;-55.7;193.1;248.8;22%;11%;28372687
Canada**;-63,335.80;349,359.90;412,695.70;15%;10%;40097761
Cayman Islands;1,237.10;1,286.50;49.4;10%;10%;73038
Central African Republic;33.6;35.1;1.4;10%;10%;5152421
Chad;-20.9;59.9;80.8;26%;13%;19319064
Chile*;1,698.30;18,167.80;16,469.50;10%;10%;19658835
China;-295,401.60;143,545.70;438,947.40;67%;34%;1410710000
Christmas Island;0.4;2.1;1.7;10%;10%;
Cocos (Keeling) Islands;1.5;2.6;1.1;10%;10%;
Colombia*;1,347.30;19,037.60;17,690.30;10%;10%;52321152
Comoros;2.9;4.7;1.8;10%;10%;850387
Congo (Brazzaville);196.9;237.1;40.2;10%;10%;
Congo (Kinshasa);-69.8;253.3;323.1;22%;11%;
Cook Islands;6;6.9;0.9;10%;10%;
Costa Rica**;-1,958.10;9,676.80;11,634.90;17%;10%;5105525
