country,import_tariff_pct
Algeria,0.3
Angola,0.32
Bangladesh,0.37
Bosnia and Herzegovina,0.36
Botswana,0.38
Brunei,0.24
Cambodia,0.49
Cameroon,0.12
Chad,0.13
China,0.34
Cote d'Ivoire,0.21
Democratic Republic of the Congo,0.11
Equatorial Guinea,0.13
European Union,0.2
Falkland Islands,0.42
Fiji,0.32
Guyana,0.38
India,0.27
Indonesia,0.32
Iraq,0.39
Israel,0.17
Japan,0.24
Jordan,0.2
Kazakhstan,0.27
Laos,0.48
Lesotho,0.5
Libya,0.31
Liechtenstein,0.37
Madagascar,0.47
Malawi,0.18
Malaysia,0.24
Mauritius,0.4
Moldova,0.31
Mozambique,0.16
Myanmar (Burma),0.44
Namibia,0.21
Nauru,0.3
Nicaragua,0.18
Nigeria,0.14
Norfolk Island,0.29
North Macedonia,0.33
Norway,0.16
Pakistan,0.29
Philippines,0.17
Reunion,0.37
Saint Pierre and Miquelon,0.5
Serbia,0.37
South Africa,0.3
South Korea,0.25
Sri Lanka,0.44
Switzerland,0.31
Syria,0.41
Taiwan,0.32
Thailand,0.36
Tunisia,0.28
Vanuatu,0.23
Venezuela,0.15
Vietnam,0.46
Zambia,0.17
Zimbabwe,0.18
