hs10,bea_code
0101210010,111CA
0101210020,111CA
0101290010,111CA
0101290090,111CA
0101300000,111CA
0101903000,111CA
0101904000,111CA
0102210010,111CA
0102210020,111CA
0102210030,111CA
0102210050,111CA
0102292011,111CA
0102292012,111CA
0102294024,111CA
0102294028,111CA
0102294034,111CA
0102294038,111CA
0102294054,111CA
0102294058,111CA
0102294062,111CA
0102294064,111CA
0102294066,111CA
0102294068,111CA
0102294072,111CA
0102294074,111CA
0102294082,111CA
0102294084,111CA
0102310010,111CA
0102310020,111CA
0102390010,111CA
0102390024,111CA
0102390028,111CA
0102390034,111CA
0102390038,111CA
0102390054,111CA
0102390058,111CA
0102390061,111CA
0102390072,111CA
0102390074,111CA
0102390082,111CA
0102390084,111CA
0102900000,111CA
0103100000,111CA
0103910010,111CA
0103910020,111CA
0103910030,111CA
0103920010,111CA
0103920020,111CA
0103920091,111CA
0104100000,111CA
0104200000,111CA
0105110010,111CA
0105110020,111CA
0105110040,111CA
0105120000,111CA
0105130000,111CA
0105140000,111CA
0105150000,111CA
0105940000,111CA
0105990000,111CA
0106110000,111CA
0106120100,111CA
0106130000,111CA
0106140000,111CA
0106193000,111CA
0106199120,111CA
0106199195,111CA
0106200000,111CA
0106310000,111CA
0106320000,111CA
0106330000,111CA
0106390100,111CA
0106410000,111CA
0106490010,111CA
0106490090,111CA
0106900110,111CA
0106900120,111CA
0106900180,111CA
0201100510,311FT
0201100590,311FT
0201101010,311FT
0201101090,311FT
0201105010,311FT
0201105090,311FT
0201200200,311FT
0201200400,311FT
0201200600,311FT
0201201000,311FT
0201203000,311FT
0201205015,311FT
0201205025,311FT
0201205035,311FT
0201205045,311FT
0201205065,311FT
0201205075,311FT
0201205091,311FT
0201208010,311FT
0201208090,311FT
0201300200,311FT
0201300400,311FT
0201300600,311FT
0201301000,311FT
0201303000,311FT
0201305015,311FT
0201305025,311FT
0201305035,311FT
0201305045,311FT
0201305055,311FT
0201305065,311FT
0201305075,311FT
0201305085,311FT
0201308010,311FT
0201308090,311FT
0202100510,311FT
0202100590,311FT
0202101010,311FT
0202101090,311FT
0202105010,311FT
0202105090,311FT
0202200200,311FT
0202200400,311FT
0202200600,311FT
0202201000,311FT
0202203000,311FT
0202205025,311FT
0202205035,311FT
0202205045,311FT
0202205090,311FT
0202208000,311FT
0202300200,311FT
0202300400,311FT
0202300600,311FT
0202301000,311FT
0202303000,311FT
0202305015,311FT
0202305025,311FT
0202305035,311FT
0202305045,311FT
0202305055,311FT
0202305065,311FT
0202305075,311FT
0202305085,311FT
0202308000,311FT
0203110000,311FT
0203121010,311FT
0203121020,311FT
0203129010,311FT
0203129020,311FT
0203192010,311FT
0203192090,311FT
0203194010,311FT
0203194090,311FT
0203210000,311FT
0203221000,311FT
0203229000,311FT
0203292000,311FT
0203294000,311FT
0204100000,311FT
0204210000,311FT
0204222010,311FT
0204222020,311FT
0204222030,311FT
0204222090,311FT
0204224000,311FT
0204232000,311FT
0204234000,311FT
0204300000,311FT
0204410000,311FT
0204422010,311FT
0204422020,311FT
0204422030,311FT
0204422090,311FT
0204424000,311FT
0204432000,311FT
0204434000,311FT
0204500000,311FT
0205000000,311FT
0206100000,311FT
0206210000,311FT
0206220000,311FT
0206290000,311FT
0206300000,311FT
0206410000,311FT
0206490000,311FT
0206800000,311FT
0206900020,311FT
0206900040,311FT
0207110020,311FT
0207110040,311FT
0207120020,311FT
0207120040,311FT
0207130000,311FT
0207140020,311FT
0207140040,311FT
0207240000,311FT
0207252000,311FT
0207254000,311FT
0207260000,311FT
0207270020,311FT
0207270040,311FT
0207410000,311FT
0207420000,311FT
0207430000,311FT
0207440000,311FT
0207450020,311FT
0207450040,311FT
0207510000,311FT
0207520000,311FT
0207530000,311FT
0207540000,311FT
0207550020,311FT
0207550040,311FT
0207601000,311FT
0207602000,311FT
0207603000,311FT
0207604000,311FT
0207606020,311FT
0207606040,311FT
0208100000,311FT
0208300000,311FT
0208400100,311FT
0208500000,311FT
0208600000,311FT
0208902000,311FT
0208902500,311FT
0208903000,311FT
0208909100,311FT
0209100000,311FT
0209900000,311FT
0210110010,311FT
0210110020,311FT
0210120020,311FT
0210120040,311FT
0210190010,311FT
0210190090,311FT
0210200000,311FT
0210910000,311FT
0210920100,311FT
0210930000,311FT
0210992000,311FT
0210999100,311FT
0301110010,111CA
0301110020,111CA
0301110090,111CA
0301190000,111CA
0301910000,111CA
0301920000,111CA
0301930210,111CA
0301930290,111CA
0301940100,111CA
0301950000,111CA
0301990310,111CA
0301990315,111CA
0301990390,111CA
0302110010,111CA
0302110090,113FF
0302130013,111CA
0302130014,113FF
0302130022,113FF
0302130032,113FF
0302130042,113FF
0302130053,111CA
0302130054,113FF
0302130062,113FF
0302140003,111CA
0302140004,113FF
0302140062,113FF
0302190000,113FF
0302210010,113FF
0302210020,113FF
0302210090,113FF
0302220000,113FF
0302230000,113FF
0302240000,113FF
0302290110,113FF
0302290190,113FF
0302310000,113FF
0302320000,113FF
0302330000,113FF
0302340000,113FF
0302350100,113FF
0302360000,113FF
0302390200,113FF
0302410000,113FF
0302420000,113FF
0302430000,113FF
0302440000,113FF
0302451100,113FF
0302455000,113FF
0302461100,113FF
0302465000,113FF
0302470010,113FF
0302470090,113FF
0302490000,113FF
0302510010,113FF
0302510090,113FF
0302520000,113FF
0302530000,113FF
0302541100,113FF
0302545000,113FF
0302551100,113FF
0302555000,113FF
0302561100,113FF
0302565000,113FF
0302591100,113FF
0302595010,113FF
0302595090,113FF
0302711100,113FF
0302715000,113FF
0302721100,113FF
0302725001,113FF
0302725004,113FF
0302725034,113FF
0302731100,113FF
0302735000,113FF
0302740000,113FF
0302791100,113FF
0302795025,113FF
0302795076,113FF
0302810011,113FF
0302810091,113FF
0302820000,113FF
0302830000,113FF
0302841100,113FF
0302845000,113FF
0302851100,113FF
0302855000,113FF
0302891120,113FF
0302891140,113FF
0302895007,113FF
0302895010,113FF
0302895013,113FF
0302895025,113FF
0302895028,113FF
0302895031,113FF
0302895034,113FF
0302895037,113FF
0302895040,113FF
0302895049,113FF
0302895052,113FF
0302895055,113FF
0302895058,113FF
0302895061,113FF
0302895064,113FF
0302895067,113FF
0302895070,113FF
0302895072,113FF
0302895077,113FF
0302912000,113FF
0302914010,113FF
0302914090,113FF
0302920000,113FF
0302990000,113FF
0303110000,113FF
0303120012,113FF
0303120022,113FF
0303120032,113FF
0303120052,113FF
0303120062,113FF
0303130000,113FF
0303140000,113FF
0303190100,113FF
0303230000,113FF
0303240010,113FF
0303240020,113FF
0303240050,113FF
0303250100,113FF
0303260000,113FF
0303290110,113FF
0303290150,113FF
0303310010,113FF
0303310020,113FF
0303310030,113FF
0303320000,113FF
0303330000,113FF
0303340000,113FF
0303390110,113FF
0303390120,113FF
0303390130,113FF
0303390195,113FF
0303410000,113FF
