hs10,naics,bea_code,metal_share
0101210010,112920,111CA,0.0111728
0101210020,112920,111CA,0.0111728
0101290010,112920,111CA,0.0111728
0101290090,112920,111CA,0.0111728
0101300000,112920,111CA,0.0111728
0101903000,112920,111CA,0.0111728
0101904000,112920,111CA,0.0111728
0102210010,11211X,111CA,0.0111728
0102210020,11211X,111CA,0.0111728
0102210030,11211X,111CA,0.0111728
0102210050,11211X,111CA,0.0111728
0102292011,11211X,111CA,0.0111728
0102292012,11211X,111CA,0.0111728
0102294024,11211X,111CA,0.0111728
0102294028,11211X,111CA,0.0111728
0102294034,11211X,111CA,0.0111728
0102294038,11211X,111CA,0.0111728
0102294054,11211X,111CA,0.0111728
0102294058,11211X,111CA,0.0111728
0102294062,11211X,111CA,0.0111728
0102294064,11211X,111CA,0.0111728
0102294066,11211X,111CA,0.0111728
0102294068,11211X,111CA,0.0111728
0102294072,11211X,111CA,0.0111728
0102294074,11211X,111CA,0.0111728
0102294082,11211X,111CA,0.0111728
0102294084,11211X,111CA,0.0111728
0102310010,11211X,111CA,0.0111728
0102310020,11211X,111CA,0.0111728
0102390010,112990,111CA,0.0111728
0102390024,11211X,111CA,0.0111728
0102390028,11211X,111CA,0.0111728
0102390034,11211X,111CA,0.0111728
0102390038,11211X,111CA,0.0111728
0102390054,11211X,111CA,0.0111728
0102390058,11211X,111CA,0.0111728
0102390061,11211X,111CA,0.0111728
0102390072,11211X,111CA,0.0111728
0102390074,11211X,111CA,0.0111728
0102390082,11211X,111CA,0.0111728
0102390084,11211X,111CA,0.0111728
0102900000,11211X,111CA,0.0111728
0103100000,112210,111CA,0.0111728
0103910010,112210,111CA,0.0111728
0103910020,112210,111CA,0.0111728
0103910030,112210,111CA,0.0111728
0103920010,112210,111CA,0.0111728
0103920020,112210,111CA,0.0111728
0103920091,112210,111CA,0.0111728
0104100000,112410,111CA,0.0111728
0104200000,112420,111CA,0.0111728
0105110010,1123XX,111CA,0.0111728
0105110020,1123XX,111CA,0.0111728
0105110040,1123XX,111CA,0.0111728
0105120000,1123XX,111CA,0.0111728
0105130000,1123XX,111CA,0.0111728
0105140000,1123XX,111CA,0.0111728
0105150000,1123XX,111CA,0.0111728
0105940000,1123XX,111CA,0.0111728
0105990000,1123XX,111CA,0.0111728
0106110000,112990,111CA,0.0111728
0106120100,112990,111CA,0.0111728
0106130000,112990,111CA,0.0111728
0106140000,112930,111CA,0.0111728
0106193000,112930,111CA,0.0111728
0106199120,112990,111CA,0.0111728
0106199195,112990,111CA,0.0111728
0106200000,112990,111CA,0.0111728
0106310000,112990,111CA,0.0111728
0106320000,112990,111CA,0.0111728
0106330000,112990,111CA,0.0111728
0106390100,112990,111CA,0.0111728
0106410000,112910,111CA,0.0111728
0106490010,112910,111CA,0.0111728
0106490090,112990,111CA,0.0111728
0106900110,112990,111CA,0.0111728
0106900120,112990,111CA,0.0111728
0106900180,112990,111CA,0.0111728
0201100510,311611,311FT,0.0194543
0201100590,311611,311FT,0.0194543
0201101010,311611,311FT,0.0194543
0201101090,311611,311FT,0.0194543
0201105010,311611,311FT,0.0194543
0201105090,311611,311FT,0.0194543
0201200200,311611,311FT,0.0194543
0201200400,311611,311FT,0.0194543
0201200600,311611,311FT,0.0194543
0201201000,311611,311FT,0.0194543
0201203000,311611,311FT,0.0194543
0201205015,311611,311FT,0.0194543
0201205025,311611,311FT,0.0194543
0201205035,311611,311FT,0.0194543
0201205045,311611,311FT,0.0194543
0201205065,311611,311FT,0.0194543
0201205075,311611,311FT,0.0194543
0201205091,311611,311FT,0.0194543
0201208010,311611,311FT,0.0194543
0201208090,311611,311FT,0.0194543
0201300200,311611,311FT,0.0194543
0201300400,311611,311FT,0.0194543
0201300600,311611,311FT,0.0194543
0201301000,311611,311FT,0.0194543
0201303000,311611,311FT,0.0194543
0201305015,311611,311FT,0.0194543
0201305025,311611,311FT,0.0194543
0201305035,311611,311FT,0.0194543
0201305045,311611,311FT,0.0194543
0201305055,311611,311FT,0.0194543
0201305065,311611,311FT,0.0194543
0201305075,311611,311FT,0.0194543
0201305085,311611,311FT,0.0194543
0201308010,311611,311FT,0.0194543
0201308090,311611,311FT,0.0194543
0202100510,311611,311FT,0.0194543
0202100590,311611,311FT,0.0194543
0202101010,311611,311FT,0.0194543
0202101090,311611,311FT,0.0194543
0202105010,311611,311FT,0.0194543
0202105090,311611,311FT,0.0194543
0202200200,311611,311FT,0.0194543
0202200400,311611,311FT,0.0194543
0202200600,311611,311FT,0.0194543
0202201000,311611,311FT,0.0194543
0202203000,311611,311FT,0.0194543
0202205025,311611,311FT,0.0194543
0202205035,311611,311FT,0.0194543
0202205045,311611,311FT,0.0194543
0202205090,311611,311FT,0.0194543
0202208000,311611,311FT,0.0194543
0202300200,311611,311FT,0.0194543
0202300400,311611,311FT,0.0194543
0202300600,311611,311FT,0.0194543
0202301000,311611,311FT,0.0194543
0202303000,311611,311FT,0.0194543
0202305015,311611,311FT,0.0194543
0202305025,311611,311FT,0.0194543
0202305035,311611,311FT,0.0194543
0202305045,311611,311FT,0.0194543
0202305055,311611,311FT,0.0194543
0202305065,311611,311FT,0.0194543
0202305075,311611,311FT,0.0194543
0202305085,311611,311FT,0.0194543
0202308000,311611,311FT,0.0194543
0203110000,311611,311FT,0.0194543
0203121010,311611,311FT,0.0194543
0203121020,311611,311FT,0.0194543
0203129010,311611,311FT,0.0194543
0203129020,311611,311FT,0.0194543
0203192010,311611,311FT,0.0194543
0203192090,311611,311FT,0.0194543
0203194010,311611,311FT,0.0194543
0203194090,311611,311FT,0.0194543
0203210000,311611,311FT,0.0194543
0203221000,311611,311FT,0.0194543
0203229000,311611,311FT,0.0194543
0203292000,311611,311FT,0.0194543
0203294000,311611,311FT,0.0194543
0204100000,311611,311FT,0.0194543
0204210000,311611,311FT,0.0194543
0204222010,311611,311FT,0.0194543
0204222020,311611,311FT,0.0194543
0204222030,311611,311FT,0.0194543
0204222090,311611,311FT,0.0194543
0204224000,311611,311FT,0.0194543
0204232000,311611,311FT,0.0194543
0204234000,311611,311FT,0.0194543
0204300000,311611,311FT,0.0194543
0204410000,311611,311FT,0.0194543
0204422010,311611,311FT,0.0194543
0204422020,311611,311FT,0.0194543
0204422030,311611,311FT,0.0194543
0204422090,311611,311FT,0.0194543
0204424000,311611,311FT,0.0194543
0204432000,311611,311FT,0.0194543
0204434000,311611,311FT,0.0194543
0204500000,311611,311FT,0.0194543
0205000000,311611,311FT,0.0194543
0206100000,311611,311FT,0.0194543
0206210000,311611,311FT,0.0194543
0206220000,311611,311FT,0.0194543
0206290000,311611,311FT,0.0194543
0206300000,311611,311FT,0.0194543
0206410000,311611,311FT,0.0194543
0206490000,311611,311FT,0.0194543
0206800000,311611,311FT,0.0194543
0206900020,311611,311FT,0.0194543
0206900040,311611,311FT,0.0194543
0207110020,311615,311FT,0.0194543
0207110040,311615,311FT,0.0194543
0207120020,311615,311FT,0.0194543
0207120040,311615,311FT,0.0194543
0207130000,311615,311FT,0.0194543
0207140020,311615,311FT,0.0194543
0207140040,311615,311FT,0.0194543
0207240000,311615,311FT,0.0194543
0207252000,311615,311FT,0.0194543
0207254000,311615,311FT,0.0194543
0207260000,311615,311FT,0.0194543
0207270020,311615,311FT,0.0194543
0207270040,311615,311FT,0.0194543
0207410000,311615,311FT,0.0194543
0207420000,311615,311FT,0.0194543
0207430000,311615,311FT,0.0194543
0207440000,311615,311FT,0.0194543
0207450020,311615,311FT,0.0194543
0207450040,311615,311FT,0.0194543
0207510000,311615,311FT,0.0194543
0207520000,311615,311FT,0.0194543
0207530000,311615,311FT,0.0194543
0207540000,311615,311FT,0.0194543
0207550020,311615,311FT,0.0194543
0207550040,311615,311FT,0.0194543
0207601000,311615,311FT,0.0194543
0207602000,311615,311FT,0.0194543
0207603000,311615,311FT,0.0194543
0207604000,311615,311FT,0.0194543
0207606020,311615,311FT,0.0194543
0207606040,311615,311FT,0.0194543
0208100000,311615,311FT,0.0194543
0208300000,311611,311FT,0.0194543
0208400100,311611,311FT,0.0194543
0208500000,311611,311FT,0.0194543
0208600000,311611,311FT,0.0194543
0208902000,311611,311FT,0.0194543
0208902500,311611,311FT,0.0194543
0208903000,311615,311FT,0.0194543
0208909100,311611,311FT,0.0194543
0209100000,311611,311FT,0.0194543
0209900000,311615,311FT,0.0194543
0210110010,311611,311FT,0.0194543
0210110020,311611,311FT,0.0194543
0210120020,311611,311FT,0.0194543
0210120040,311611,311FT,0.0194543
0210190010,311611,311FT,0.0194543
0210190090,311611,311FT,0.0194543
0210200000,311611,311FT,0.0194543
0210910000,311611,311FT,0.0194543
0210920100,311611,311FT,0.0194543
0210930000,311611,311FT,0.0194543
0210992000,311615,311FT,0.0194543
0210999100,311611,311FT,0.0194543
0301110010,112511,111CA,0.0111728
0301110020,112511,111CA,0.0111728
0301110090,112511,111CA,0.0111728
0301190000,112511,111CA,0.0111728
0301910000,112511,111CA,0.0111728
0301920000,112511,111CA,0.0111728
0301930210,112511,111CA,0.0111728
0301930290,112511,111CA,0.0111728
0301940100,112511,111CA,0.0111728
0301950000,112511,111CA,0.0111728
0301990310,112511,111CA,0.0111728
0301990315,112511,111CA,0.0111728
0301990390,112511,111CA,0.0111728
0302110010,112511,111CA,0.0111728
0302110090,114111,113FF,0.0031153
0302130013,112511,111CA,0.0111728
0302130014,114111,113FF,0.0031153
0302130022,114111,113FF,0.0031153
0302130032,114111,113FF,0.0031153
0302130042,114111,113FF,0.0031153
0302130053,112511,111CA,0.0111728
0302130054,114111,113FF,0.0031153
0302130062,114111,113FF,0.0031153
0302140003,112511,111CA,0.0111728
0302140004,114111,113FF,0.0031153
0302140062,114111,113FF,0.0031153
0302190000,114111,113FF,0.0031153
0302210010,114111,113FF,0.0031153
0302210020,114111,113FF,0.0031153
0302210090,114111,113FF,0.0031153
0302220000,114111,113FF,0.0031153
0302230000,114111,113FF,0.0031153
0302240000,114111,113FF,0.0031153
0302290110,114111,113FF,0.0031153
0302290190,114111,113FF,0.0031153
0302310000,114111,113FF,0.0031153
0302320000,114111,113FF,0.0031153
0302330000,114111,113FF,0.0031153
0302340000,114111,113FF,0.0031153
0302350100,114111,113FF,0.0031153
0302360000,114111,113FF,0.0031153
0302390200,114111,113FF,0.0031153
0302410000,114111,113FF,0.0031153
0302420000,114111,113FF,0.0031153
0302430000,114111,113FF,0.0031153
0302440000,114111,113FF,0.0031153
0302451100,114111,113FF,0.0031153
0302455000,114111,113FF,0.0031153
0302461100,114111,113FF,0.0031153
0302465000,114111,113FF,0.0031153
0302470010,114111,113FF,0.0031153
0302470090,114111,113FF,0.0031153
0302490000,114111,113FF,0.0031153
0302510010,114111,113FF,0.0031153
0302510090,114111,113FF,0.0031153
0302520000,114111,113FF,0.0031153
0302530000,114111,113FF,0.0031153
0302541100,114111,113FF,0.0031153
0302545000,114111,113FF,0.0031153
0302551100,114111,113FF,0.0031153
0302555000,114111,113FF,0.0031153
0302561100,114111,113FF,0.0031153
0302565000,114111,113FF,0.0031153
0302591100,114111,113FF,0.0031153
0302595010,114111,113FF,0.0031153
0302595090,114111,113FF,0.0031153
0302711100,114111,113FF,0.0031153
