"hts10","cty_code","usmca_share"
"0101210010","1220",0.995190152040109
"0101210020","1220",0.994007313109426
"0101290090","1220",0.996125927696663
"0101300000","1220",1
"0101904000","1220",0
"0102210010","1220",0.987117262867757
"0102210020","1220",1
"0102210030","1220",1
"0102210050","1220",0.983410309497266
"0102292012","1220",1
"0102294024","1220",1
"0102294028","1220",1
"0102294038","1220",1
"0102294054","1220",1
"0102294058","1220",1
"0102294062","1220",1
"0102294064","1220",1
"0102294066","1220",1
"0102294068","1220",1
"0102294072","1220",1
"0102294074","1220",1
"0102294082","1220",1
"0102294084","1220",1
"0102390010","1220",1
"0103910010","1220",1
"0103910020","1220",0.995368139233154
"0103910030","1220",0.950963663241991
"0103920010","1220",1
"0103920020","1220",1
"0103920091","1220",1
"0104100000","1220",1
"0105110010","1220",1
"0105110040","1220",0.977045263977752
"0105120000","1220",1
"0105130000","1220",1
"0105140000","1220",1
"0105940000","1220",1
"0105990000","1220",0.998615829639811
"0106130000","1220",1
"0106140000","1220",0.964389875140601
"0106199120","1220",0.937966830925516
"0106199195","1220",1
"0106200000","1220",0.777858541562555
"0106390100","1220",1
"0106410000","1220",1
"0106490090","1220",0.982681213534895
"0106900110","1220",1
"0106900120","1220",1
"0106900180","1220",0.94743539306361
"0201101090","1220",1
"0201105010","1220",1
"0201105090","1220",1
"0201201000","1220",1
"0201205015","1220",1
"0201205025","1220",1
"0201205035","1220",1
"0201205045","1220",1
"0201205065","1220",1
"0201205075","1220",1
"0201205091","1220",1
"0201208010","1220",1
"0201208090","1220",1
"0201301000","1220",1
"0201303000","1220",1
"0201305015","1220",1
"0201305025","1220",1
"0201305035","1220",0.999810095401398
"0201305045","1220",0.999156710784058
"0201305055","1220",1
"0201305065","1220",0.999497980593993
"0201305075","1220",0.999945196535076
"0201305085","1220",1
"0201308010","1220",1
"0201308090","1220",0.995060152066844
"0202205025","1220",1
"0202205090","1220",1
"0202208000","1220",1
"0202300600","1220",0
"0202301000","1220",1
"0202303000","1220",1
"0202305015","1220",1
