name_variant,iso3,name_standard
China,CHN,China
People's Republic of China,CHN,China
United States,USA,United States
US,USA,United States
Canada,CAN,Canada
Mexico,MEX,Mexico
Japan,JPN,Japan
South Korea,KOR,South Korea
"Korea, South",KOR,South Korea
Republic of Korea,KOR,South Korea
Taiwan,TWN,Taiwan
Chinese Taipei,TWN,Taiwan
India,IND,India
Vietnam,VNM,Vietnam
Viet Nam,VNM,Vietnam
Thailand,THA,Thailand
Indonesia,IDN,Indonesia
Malaysia,MYS,Malaysia
Philippines,PHL,Philippines
Singapore,SGP,Singapore
Bangladesh,BGD,Bangladesh
Cambodia,KHM,Cambodia
Sri Lanka,LKA,Sri Lanka
Pakistan,PAK,Pakistan
Myanmar,MMR,Myanmar
European Union,EUU,European Union
EU,EUU,European Union
Germany,DEU,Germany
France,FRA,France
Italy,ITA,Italy
Spain,ESP,Spain
Netherlands,NLD,Netherlands
Belgium,BEL,Belgium
Ireland,IRL,Ireland
Poland,POL,Poland
Sweden,SWE,Sweden
Austria,AUT,Austria
United Kingdom,GBR,United Kingdom
UK,GBR,United Kingdom
Switzerland,CHE,Switzerland
Australia,AUS,Australia
New Zealand,NZL,New Zealand
Brazil,BRA,Brazil
Argentina,ARG,Argentina
Colombia,COL,Colombia
Chile,CHL,Chile
Peru,PER,Peru
Saudi Arabia,SAU,Saudi Arabia
Israel,ISR,Israel
Turkey,TUR,Turkey
Türkiye,TUR,Turkey
South Africa,ZAF,South Africa
Nigeria,NGA,Nigeria
Egypt,EGY,Egypt
Kenya,KEN,Kenya
Russia,RUS,Russia
Russian Federation,RUS,Russia
Norway,NOR,Norway
Denmark,DNK,Denmark
Finland,FIN,Finland
Portugal,PRT,Portugal
Greece,GRC,Greece
Czech Republic,CZE,Czech Republic
Czechia,CZE,Czech Republic
Romania,ROU,Romania
Hungary,HUN,Hungary
Hong Kong,HKG,Hong Kong
Laos,LAO,Laos
Nicaragua,NIC,Nicaragua
Madagascar,MDG,Madagascar
Lesotho,LSO,Lesotho
Botswana,BWA,Botswana
Mauritius,MUS,Mauritius
Libya,LBY,Libya
Syria,SYR,Syria
Iraq,IRQ,Iraq
Falkland Islands,FLK,Falkland Islands
Nauru,NRU,Nauru
Norfolk Island,NFK,Norfolk Island
Costa Rica,CRI,Costa Rica
Jordan,JOR,Jordan
Dominican Republic,DOM,Dominican Republic
United Arab Emirates,ARE,United Arab Emirates
Ecuador,ECU,Ecuador
Guatemala,GTM,Guatemala
Honduras,HND,Honduras
Myanmar (Burma),MMR,Myanmar
Tunisia,TUN,Tunisia
Kazakhstan,KAZ,Kazakhstan
Algeria,DZA,Algeria
Angola,AGO,Angola
Bahamas,BHS,Bahamas
Bahrain,BHR,Bahrain
Barbados,BRB,Barbados
Belarus,BLR,Belarus
Belize,BLZ,Belize
Benin,BEN,Benin
Bhutan,BTN,Bhutan
Bolivia,BOL,Bolivia
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina
Brunei,BRN,Brunei
Burkina Faso,BFA,Burkina Faso
Burundi,BDI,Burundi
Cameroon,CMR,Cameroon
Cape Verde,CPV,Cape Verde
Chad,TCD,Chad
Comoros,COM,Comoros
Congo,COG,Congo
Cote d'Ivoire,CIV,Cote d'Ivoire
Cuba,CUB,Cuba
DR Congo,COD,DR Congo
Djibouti,DJI,Djibouti
El Salvador,SLV,El Salvador
Equatorial Guinea,GNQ,Equatorial Guinea
Eritrea,ERI,Eritrea
Ethiopia,ETH,Ethiopia
Fiji,FJI,Fiji
Gabon,GAB,Gabon
Gambia,GMB,Gambia
Georgia,GEO,Georgia
Ghana,GHA,Ghana
Guyana,GUY,Guyana
Haiti,HTI,Haiti
Iceland,ISL,Iceland
Iran,IRN,Iran
Ivory Coast,CIV,Cote d'Ivoire
Jamaica,JAM,Jamaica
Kosovo,XKX,Kosovo
Kuwait,KWT,Kuwait
Kyrgyzstan,KGZ,Kyrgyzstan
Lebanon,LBN,Lebanon
Liberia,LBR,Liberia
Lithuania,LTU,Lithuania
Luxembourg,LUX,Luxembourg
Malawi,MWI,Malawi
Maldives,MDV,Maldives
Mali,MLI,Mali
Malta,MLT,Malta
Mauritania,MRT,Mauritania
Moldova,MDA,Moldova
Mongolia,MNG,Mongolia
Montenegro,MNE,Montenegro
Morocco,MAR,Morocco
Mozambique,MOZ,Mozambique
Namibia,NAM,Namibia
Nepal,NPL,Nepal
Niger,NER,Niger
North Macedonia,MKD,North Macedonia
Oman,OMN,Oman
Panama,PAN,Panama
Papua New Guinea,PNG,Papua New Guinea
Paraguay,PRY,Paraguay
Qatar,QAT,Qatar
Rwanda,RWA,Rwanda
Samoa,WSM,Samoa
Senegal,SEN,Senegal
Serbia,SRB,Serbia
Sierra Leone,SLE,Sierra Leone
Slovakia,SVK,Slovakia
Slovenia,SVN,Slovenia
Solomon Islands,SLB,Solomon Islands
Somalia,SOM,Somalia
Sudan,SDN,Sudan
Suriname,SUR,Suriname
Tanzania,TZA,Tanzania
Togo,TGO,Togo
Tonga,TON,Tonga
Trinidad and Tobago,TTO,Trinidad and Tobago
Uganda,UGA,Uganda
Ukraine,UKR,Ukraine
Uruguay,URY,Uruguay
Uzbekistan,UZB,Uzbekistan
Vanuatu,VUT,Vanuatu
Venezuela,VEN,Venezuela
Yemen,YEM,Yemen
Zambia,ZMB,Zambia
Zimbabwe,ZWE,Zimbabwe
Azerbaijan,AZE,Azerbaijan
Armenia,ARM,Armenia
Albania,ALB,Albania
Afghanistan,AFG,Afghanistan
Andorra,AND,Andorra
Antigua and Barbuda,ATG,Antigua and Barbuda
Bulgaria,BGR,Bulgaria
Croatia,HRV,Croatia
Cyprus,CYP,Cyprus
Estonia,EST,Estonia
Latvia,LVA,Latvia
Liechtenstein,LIE,Liechtenstein
Tajikistan,TJK,Tajikistan
Turkmenistan,TKM,Turkmenistan
Timor-Leste,TLS,Timor-Leste
