State Imports by NAICS Commodities,,,,
Current date: 05/12/2025 2:56 PM (Eastern Daylight Time),,,,
Measures: Customs Value (Gen) ($US),,,,
State,Commodity,Country,Time,Customs Value (Gen) ($US)
Alabama,1111 Oilseeds & Grains,Canada,2024,"5,174,488"
Alabama,1111 Oilseeds & Grains,China,2024,"38,805"
Alabama,1111 Oilseeds & Grains,France,2024,"3,926"
Alabama,1111 Oilseeds & Grains,Honduras,2024,"16,763"
Alabama,1111 Oilseeds & Grains,India,2024,"202,055"
Alabama,1111 Oilseeds & Grains,Madagascar,2024,"6,734"
Alabama,1112 Vegetables & Melons,Canada,2024,"386,145"
Alabama,1112 Vegetables & Melons,China,2024,"165,094"
Alabama,1112 Vegetables & Melons,Mexico,2024,"39,199"
Alabama,1113 Fruits & Tree Nuts,Argentina,2024,"71,664"
Alabama,1113 Fruits & Tree Nuts,Canada,2024,"532,835"
Alabama,1113 Fruits & Tree Nuts,Ecuador,2024,"22,060"
Alabama,1113 Fruits & Tree Nuts,Guatemala,2024,"990,595"
Alabama,1113 Fruits & Tree Nuts,Honduras,2024,"20,780"
Alabama,1113 Fruits & Tree Nuts,Mexico,2024,"19,200"
Alabama,1113 Fruits & Tree Nuts,Nepal,2024,"2,700"
Alabama,1113 Fruits & Tree Nuts,Papua New Guinea,2024,"3,047"
Alabama,1113 Fruits & Tree Nuts,Peru,2024,"10,920"
Alabama,"1114 Mushrooms, Nursery & Related Products",Brazil,2024,"24,530"
Alabama,"1114 Mushrooms, Nursery & Related Products",Canada,2024,"4,437,141"
Alabama,"1114 Mushrooms, Nursery & Related Products",Germany,2024,"4,680"
Alabama,"1114 Mushrooms, Nursery & Related Products",Guatemala,2024,"5,700"
Alabama,"1114 Mushrooms, Nursery & Related Products",Ireland,2024,"6,808"
Alabama,"1114 Mushrooms, Nursery & Related Products",Italy,2024,"2,861"
Alabama,"1114 Mushrooms, Nursery & Related Products",Kenya,2024,"99,533"
Alabama,"1114 Mushrooms, Nursery & Related Products",Mexico,2024,"459,337"
Alabama,1119 Other Agricultural Products,Albania,2024,"27,622"
Alabama,1119 Other Agricultural Products,Canada,2024,"615,618"
Alabama,1119 Other Agricultural Products,Egypt,2024,"168,448"
Alabama,1119 Other Agricultural Products,France,2024,"1,075"
Alabama,1119 Other Agricultural Products,Germany,2024,"10,131"
Alabama,1119 Other Agricultural Products,Vietnam,2024,"221,030"
Alabama,1123 Poultry & Eggs,Australia,2024,"884,096"
Alabama,1123 Poultry & Eggs,United Kingdom,2024,"12,292,279"
Alabama,1125 Farmed Fish And Related Products,Argentina,2024,"154,385"
Alabama,1125 Farmed Fish And Related Products,Ecuador,2024,"352,094"
Alabama,1125 Farmed Fish And Related Products,India,2024,"2,395,075"
Alabama,1125 Farmed Fish And Related Products,Vietnam,2024,"702,602"
Alabama,1129 Other Animals,Canada,2024,"5,500"
Alabama,1129 Other Animals,Czech Republic,2024,"26,736"
Alabama,1129 Other Animals,Greece,2024,"5,665"
Alabama,1129 Other Animals,Hungary,2024,"247,805"
Alabama,1129 Other Animals,India,2024,"2,500"
Alabama,1129 Other Animals,Netherlands,2024,"1,249,862"
Alabama,1129 Other Animals,Poland,2024,"46,304"
Alabama,1129 Other Animals,Romania,2024,"15,367"
Alabama,1129 Other Animals,Spain,2024,"27,900"
Alabama,1129 Other Animals,United Kingdom,2024,"14,211"
Alabama,1132 Forestry Products,Canada,2024,"34,375"
Alabama,1132 Forestry Products,China,2024,"79,283"
Alabama,1132 Forestry Products,Cote d'Ivoire,2024,"11,269"
Alabama,1132 Forestry Products,Germany,2024,"416,526"
Alabama,1132 Forestry Products,Italy,2024,"1,653"
Alabama,1132 Forestry Products,Madagascar,2024,"70,055"
Alabama,1132 Forestry Products,Mexico,2024,"140,145"
Alabama,1132 Forestry Products,Sri Lanka,2024,"38,695"
Alabama,1132 Forestry Products,Thailand,2024,"2,468,426"
Alabama,1133 Timber & Logs,Canada,2024,"77,718"
Alabama,"1141 Fish, Fresh/chilled/frozen & Other Marine Products",Argentina,2024,"117,066"
Alabama,"1141 Fish, Fresh/chilled/frozen & Other Marine Products",Brazil,2024,"126,375"
Alabama,"1141 Fish, Fresh/chilled/frozen & Other Marine Products",Canada,2024,"3,440,997"
Alabama,"1141 Fish, Fresh/chilled/frozen & Other Marine Products",Chile,2024,"242,327"
Alabama,"1141 Fish, Fresh/chilled/frozen & Other Marine Products",China,2024,"38,247,483"
Alabama,"1141 Fish, Fresh/chilled/frozen & Other Marine Products",Ecuador,2024,"87,244"
Alabama,"1141 Fish, Fresh/chilled/frozen & Other Marine Products",Iceland,2024,"266,616"
Alabama,"1141 Fish, Fresh/chilled/frozen & Other Marine Products",Indonesia,2024,"437,875"
Alabama,"1141 Fish, Fresh/chilled/frozen & Other Marine Products",Norway,2024,"837,195"
