Country,Tariffs Charged to the U.S.A.,U.S.A. Discounted Reciprocal Tariffs
Afghanistan,49%,10%
Antigua and Barbuda,10%,10%
Argentina,10%,10%
Aruba,10%,10%
Australia,10%,10%
Bangladesh,74%,37%
Barbados,10%,10%
Benin,10%,10%
Bermuda,10%,10%
Bhutan,10%,10%
Botswana,74%,37%
Brazil,10%,10%
British Indian Ocean Territory,10%,10%
British Virgin Islands,10%,10%
Burundi,10%,10%
Cabo Verde,10%,10%
Cambodia,97%,49%
Cayman Islands,10%,10%
Central African Republic,10%,10%
Chad,26%,13%
Chile,10%,10%
China,67%,34%
Colombia,10%,10%
Comoros,10%,10%
Costa Rica,17%,10%
Côte d'Ivoire,41%,21%
Curaçao,10%,10%
Djibouti,10%,10%
Dominica,10%,10%
Dominican Republic,10%,10%
Ecuador,12%,10%
Egypt,10%,10%
El Salvador,10%,10%
Equatorial Guinea,25%,13%
Eritrea,10%,10%
Eswatini (Swaziland),10%,10%
European Union,39%,20%
French Guiana,10%,10%
French Guiana,10%,10%
French Polynesia,10%,10%
Gambia,10%,10%
Gibraltar,10%,10%
Grenada,10%,10%
Guadalupe,10%,10%
Guatemala,10%,10%
Guinea,10%,10%
Guineu-Bissau,10%,10%
Heard and McDonald Islands,73%,37%
Honduras,10%,10%
India,52%,26%
Indonesia,64%,32%
Iran,10%,10%
Israel,33%,17%
Japan,46%,24%
Jordan,40%,20%
Kazakhstan,54%,27%
Kiribati,10%,10%
Kosovo,10%,10%
Kyrgyzstan,10%,10%
Laos,95%,48%
Liberia,10%,10%
Libya,61%,31%
Madagascar,93%,47%
Malawi,34%,17%
Malaysia,47%,24%
Maldives,10%,10%
Mali,10%,10%
Marshall Islands,10%,10%
Martinique,10%,10%
Mayotte (Koeling Islands),10%,10%
Monaco,10%,10%
Mongolia,10%,10%
Montenegro,10%,10%
Montserrat,10%,10%
Morocco,10%,10%
Myanmar (Burma),88%,44%
Nauru,59%,30%
New Zealand,20%,10%
Nicaragua,36%,18%
Niger,10%,10%
Norfolk Island,58%,29%
Norway,30%,15%
Pakistan,58%,29%
Papua New Guinea,15%,10%
Peru,10%,10%
Philippines,34%,17%
Republic of the Congo,10%,10%
Rwanda,10%,10%
Saint Helena,15%,10%
Saint Kitts and Nevis,10%,10%
Saint Lucia,10%,10%
Saint Pierre and Miquelon,99%,50%
Saint Vincent and the Grenadines,10%,10%
Samoa,10%,10%
San Marino,10%,10%
São Tomé and Príncipe,10%,10%
Saudi Arabia,10%,10%
Serbia,74%,37%
Sierra Leone,10%,10%
Singapore,10%,10%
Solomon Islands,10%,10%
South Africa,60%,30%
South Korea,50%,25%
South Sudan,10%,10%
Sri Lanka,88%,44%
Sudan,10%,10%
Svalbard and Jan Mayen,10%,10%
Switzerland,61%,31%
Syria,81%,41%
Taiwan,64%,32%
Tajikistan,10%,10%
Thailand,72%,36%
Timor-Leste,10%,10%
Tokelau,10%,10%
Trinidad and Tobago,12%,10%
Tunisia,55%,28%
Turkey,10%,10%
Turkmenistan,10%,10%
Turks and Caicos Islands,10%,10%
United Arab Emirates,10%,10%
United Kingdom,10%,10%
Uzbekistan,10%,10%
Vanuatu,44%,22%
Vietnam,90%,46%
Yemen,10%,10%
Zimbabwe,35%,18%
