"Domestic Requirements, Industry-by-Commodity - Summary"
"Domestic Requirements, Industry-by-Commodity - Summary"

,Industries/Commodities,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other
,Industry Description,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods",Noncomparable imports and rest-of-the-world adjustment
111CA,Farms,1.2980547,0.1328317,0.0006466,0.0012325,0.0006559,0.0006888,0.0022075,0.0183380,0.0026444,0.0012796,0.0009817,0.0007171,0.0004059,0.0010471,0.0012432,0.0004368,0.0031723,0.0024118,0.3379410,0.0297118,0.0175803,0.0054607,0.0043962,0.0011865,0.0206212,0.0057723,0.0010337,0.0012616,0.0014109,0.0005391,0.0006647,0.0013304,0.0011104,0.0019492,0.0005273,0.0006289,0.0004195,0.0007439,0.0003919,0.0004123,0.0005687,0.0005559,0.0007570,0.0005176,0.0006306,0.0002995,0.0006370,0.0001139,0.0015078,0.0007609,0.0003717,0.0006349,0.0015645,0.0007463,0.0018184,0.0021979,0.0075675,0.0017868,0.0053141,0.0063307,0.0166538,0.0028756,0.0180228,0.0055212,0.0209074,0.0011597,0.0029419,0.0003577,0.0017876,0.0139114,0.0012466,0.0072343,0.0003577
113FF,"Forestry, fishing, and related activities",0.0709814,0.9851908,0.0002066,0.0017514,0.0003881,0.0003889,0.0033227,0.1230101,0.0012164,0.0013102,0.0008843,0.0006758,0.0003278,0.0012807,0.0012743,0.0003202,0.0111266,0.0019294,0.0200488,0.0025112,0.0083316,0.0235632,0.0024976,0.0002261,0.0016377,0.0035293,0.0006701,0.0003270,0.0007429,0.0002386,0.0003682,0.0002094,0.0050103,0.0003394,0.0003423,0.0004131,0.0002596,0.0003867,0.0002534,0.0001764,0.0001841,0.0003036,0.0003981,0.0001565,0.0002158,0.0001327,0.0001896,0.0001147,0.0008819,0.0003914,0.0001264,0.0001571,0.0003975,0.0002345,0.0004631,0.0005669,0.0010110,0.0003764,0.0009052,0.0006288,0.0015044,0.0003506,0.0015495,0.0010161,0.0019540,0.0005565,0.0003845,0.0002702,0.0003163,0.0025427,0.0009174,0.0058984,0.0002702
211,Oil and gas extraction,0.0090559,0.0028624,1.0536895,0.0089765,0.0038310,0.0367884,0.0086211,0.0057062,0.0062980,0.0069349,0.0038444,0.0031483,0.0010514,0.0049145,0.0030473,0.0014752,0.0043211,0.0040297,0.0057970,0.0082950,0.0025247,0.0063590,0.0055467,0.3758902,0.0305957,0.0096482,0.0021449,0.0025868,0.0036952,0.0017713,0.0021844,0.0234987,0.0089309,0.0191235,0.0201196,0.0121658,0.0042769,0.0126224,0.0077846,0.0016085,0.0012432,0.0016219,0.0018764,0.0019844,0.0032487,0.0006010,0.0030745,0.0005253,0.0046488,0.0026780,0.0007217,0.0012974,0.0015948,0.0014182,0.0029153,0.0070764,0.0080563,0.0029331,0.0044953,0.0028816,0.0025477,0.0021387,0.0109773,0.0026855,0.0031774,0.0024931,0.0040556,0.0015847,0.0103491,0.0114666,0.0433606,0.0076249,0.0015847
212,"Mining, except oil and gas",0.0045466,0.0007303,0.0024172,1.0817460,0.0029882,0.0107810,0.0136387,0.0022597,0.0807580,0.0504702,0.0122297,0.0056651,0.0009882,0.0072860,0.0056820,0.0020736,0.0040957,0.0030364,0.0033183,0.0036665,0.0013565,0.0083755,0.0020979,0.0047403,0.0099146,0.0043809,0.0006443,0.0007693,0.0012050,0.0006083,0.0006861,0.0007712,0.0024613,0.0013227,0.0010324,0.0019544,0.0014413,0.0016651,0.0007639,0.0005422,0.0005974,0.0010971,0.0024043,0.0004433,0.0005884,0.0002647,0.0006287,0.0004798,0.0017751,0.0007901,0.0003088,0.0004504,0.0012841,0.0005729,0.0017006,0.0017955,0.0024890,0.0008387,0.0011714,0.0010131,0.0013439,0.0025170,0.0065233,0.0014792,0.0016425,0.0023950,0.0009963,0.0058702,0.0007979,0.0016798,0.0157552,0.0073561,0.0058702
213,Support activities for mining,0.0006177,0.0001806,0.0593730,0.0227040,1.0194665,0.0023122,0.0008334,0.0004070,0.0020412,0.0014704,0.0017200,0.0003624,0.0001058,0.0005323,0.0003444,0.0001754,0.0004006,0.0003244,0.0004259,0.0005658,0.0001801,0.0005760,0.0003801,0.0216252,0.0019429,0.0006757,0.0001408,0.0001681,0.0002392,0.0001160,0.0001425,0.0013648,0.0005719,0.0011525,0.0011803,0.0007430,0.0003087,0.0007610,0.0004661,0.0001067,0.0000852,0.0001269,0.0001632,0.0001249,0.0002014,0.0000414,0.0001916,0.0000418,0.0003079,0.0001767,0.0000490,0.0000897,0.0001326,0.0001015,0.0002070,0.0004661,0.0005139,0.0001872,0.0002864,0.0001885,0.0001839,0.0001763,0.0007675,0.0001914,0.0002224,0.0002013,0.0002684,0.0002169,0.0006076,0.0006964,0.0028117,0.0006341,0.0002169
22,Utilities,0.0267692,0.0048249,0.0203714,0.0322042,0.0049407,0.7902602,0.0105425,0.0176975,0.0346607,0.0274982,0.0189756,0.0107811,0.0050599,0.0140359,0.0116039,0.0107988,0.0148836,0.0089212,0.0200036,0.0215522,0.0123067,0.0351744,0.0194773,0.0120623,0.0177189,0.0232197,0.0086144,0.0147214,0.0258989,0.0186478,0.0132301,0.0099667,0.0045365,0.0086074,0.0152206,0.0087590,0.0266472,0.0081791,0.0164015,0.0044478,0.0058060,0.0128598,0.0101734,0.0054733,0.0063930,0.0025600,0.0135236,0.0008613,0.0235658,0.0069345,0.0036572,0.0036964,0.0062205,0.0084153,0.0068563,0.0166451,0.0166387,0.0075288,0.0125293,0.0164909,0.0091361,0.0098521,0.0198587,0.0218352,0.0215532,0.0116206,0.0090358,0.0047854,0.0239405,0.0141039,0.0591561,0.0174255,0.0047854
23,Construction,0.0095902,0.0028130,0.0060303,0.0421309,0.0161012,0.0470177,1.0049010,0.0081282,0.0172994,0.0139080,0.0102496,0.0062061,0.0028705,0.0066821,0.0060559,0.0040811,0.0074198,0.0053334,0.0088857,0.0076601,0.0039108,0.0139384,0.0093033,0.0118039,0.0064923,0.0091466,0.0068266,0.0110723,0.0150977,0.0118279,0.0098244,0.0057961,0.0367518,0.0085817,0.0081904,0.0210328,0.0395658,0.0169180,0.0101322,0.0036976,0.0039330,0.0085965,0.0061439,0.0085322,0.0088306,0.0035071,0.0076983,0.0283994,0.0401907,0.0078351,0.0036499,0.0025171,0.0053743,0.0063233,0.0048844,0.0089992,0.0109168,0.0053276,0.0114063,0.0099850,0.0077626,0.0071578,0.0367773,0.0200302,0.0099062,0.0129287,0.0183731,0.0046439,0.0098711,0.0195973,0.1561284,0.0139056,0.0046439
321,Wood products,0.0044425,0.0018639,0.0011712,0.0061486,0.0028989,0.0027751,0.0301756,1.2016906,0.0057551,0.0082497,0.0056180,0.0042910,0.0022294,0.0083972,0.0084503,0.0019827,0.0992698,0.0093859,0.0039447,0.0034735,0.0017927,0.0298494,0.0040252,0.0011222,0.0019312,0.0110783,0.0049477,0.0020005,0.0044310,0.0016185,0.0025728,0.0008147,0.0482802,0.0015868,0.0024449,0.0018544,0.0018552,0.0021378,0.0017467,0.0009314,0.0011102,0.0021451,0.0028512,0.0008415,0.0011616,0.0005434,0.0009897,0.0009816,0.0070078,0.0025670,0.0006657,0.0006589,0.0015561,0.0010764,0.0021559,0.0018716,0.0019018,0.0014913,0.0023051,0.0016093,0.0040221,0.0011481,0.0036521,0.0039247,0.0026037,0.0034582,0.0014478,0.0012083,0.0012751,0.0030031,0.0071962,0.0377810,0.0012083
327,Nonmetallic mineral products,0.0013115,0.0003983,0.0048364,0.0162542,0.0065220,0.0046133,0.0393567,0.0072993,1.0968202,0.0123495,0.0055853,0.0042866,0.0010459,0.0106786,0.0111201,0.0015722,0.0063039,0.0045501,0.0039140,0.0028752,0.0060923,0.0041346,0.0014327,0.0035925,0.0029226,0.0077263,0.0008278,0.0013145,0.0013411,0.0007698,0.0010860,0.0008155,0.0024283,0.0014015,0.0012520,0.0020975,0.0020656,0.0017551,0.0009512,0.0005306,0.0004505,0.0022742,0.0014944,0.0006329,0.0008201,0.0004044,0.0007427,0.0012272,0.0024925,0.0021475,0.0003727,0.0007231,0.0021970,0.0007106,0.0014166,0.0021867,0.0011639,0.0020902,0.0019723,0.0012568,0.0026809,0.0007730,0.0041097,0.0015278,0.0023789,0.0026504,0.0015345,0.0011728,0.0009313,0.0018090,0.0156837,0.0045075,0.0011728
