"Total Requirements, Industry-by-Commodity - Summary"
"Total Requirements, Industry-by-Commodity - Summary"

,Industries/Commodities,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other
,Industry Description,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods",Noncomparable imports and rest-of-the-world adjustment
111CA,Farms,1.3109840,0.1351286,0.0011070,0.0017628,0.0010168,0.0010038,0.0028632,0.0202884,0.0041602,0.0023836,0.0017792,0.0013768,0.0006591,0.0018989,0.0023812,0.0008586,0.0053498,0.0035359,0.3731089,0.0341832,0.0211470,0.0073382,0.0057850,0.0019592,0.0253374,0.0096024,0.0014291,0.0016413,0.0021167,0.0011417,0.0009648,0.0021332,0.0014509,0.0026658,0.0008166,0.0009375,0.0006133,0.0011069,0.0006049,0.0006075,0.0008200,0.0008431,0.0011145,0.0007655,0.0010059,0.0004923,0.0009901,0.0001596,0.0022061,0.0011302,0.0005424,0.0009372,0.0024493,0.0011769,0.0023751,0.0030047,0.0095065,0.0027293,0.0068442,0.0081493,0.0202884,0.0034238,0.0204314,0.0072553,0.0307861,0.0016659,0.0039762,0.0009816,0.0024430,0.0172243,0.0018272,0.0092341,0.0009816
113FF,"Forestry, fishing, and related activities",0.0731470,0.9856951,0.0003794,0.0020675,0.0005728,0.0005761,0.0043175,0.1295853,0.0016985,0.0021053,0.0013901,0.0012540,0.0005019,0.0019159,0.0022503,0.0006209,0.0158609,0.0037323,0.0281785,0.0035303,0.0098754,0.0262702,0.0040929,0.0004611,0.0026238,0.0087371,0.0009150,0.0004864,0.0021707,0.0003869,0.0005423,0.0005172,0.0057470,0.0005671,0.0005092,0.0006229,0.0003806,0.0005965,0.0003859,0.0002725,0.0002909,0.0004792,0.0005785,0.0002792,0.0003903,0.0002336,0.0003547,0.0001623,0.0012656,0.0006167,0.0002107,0.0003083,0.0006384,0.0003937,0.0007037,0.0008930,0.0015234,0.0007214,0.0014158,0.0011206,0.0022995,0.0005626,0.0028653,0.0024306,0.0065147,0.0008544,0.0006885,0.0004542,0.0006046,0.0034711,0.0013612,0.0069555,0.0004542
211,Oil and gas extraction,0.0186430,0.0060808,1.0777933,0.0174330,0.0076063,0.0527508,0.0163343,0.0112497,0.0124423,0.0175170,0.0094228,0.0079771,0.0025418,0.0113923,0.0081850,0.0037159,0.0096225,0.0082707,0.0122684,0.0179473,0.0055155,0.0139748,0.0122854,0.6416913,0.0510534,0.0201550,0.0041304,0.0046407,0.0060598,0.0031763,0.0039020,0.0567392,0.0211041,0.0457709,0.0369502,0.0207964,0.0068015,0.0238280,0.0128954,0.0025683,0.0022622,0.0031234,0.0033735,0.0036642,0.0061957,0.0012634,0.0057727,0.0009386,0.0081365,0.0049918,0.0013637,0.0026045,0.0039414,0.0029406,0.0057470,0.0144813,0.0130698,0.0057482,0.0087749,0.0052936,0.0049542,0.0038730,0.0169622,0.0048767,0.0061248,0.0047450,0.0100435,0.0036200,0.0152492,0.0233657,0.0639675,0.0163214,0.0036200
212,"Mining, except oil and gas",0.0058357,0.0010694,0.0039273,1.0843549,0.0037743,0.0115152,0.0158653,0.0036687,0.0899126,0.0674095,0.0194733,0.0102360,0.0020075,0.0147724,0.0110989,0.0040982,0.0071209,0.0056616,0.0048585,0.0059074,0.0021823,0.0105490,0.0033970,0.0066491,0.0133081,0.0071033,0.0009954,0.0010957,0.0015189,0.0008522,0.0009761,0.0017080,0.0030972,0.0022028,0.0015351,0.0024287,0.0018745,0.0021798,0.0011375,0.0007273,0.0007807,0.0016643,0.0027544,0.0006290,0.0012314,0.0004240,0.0010969,0.0005695,0.0022650,0.0011767,0.0004145,0.0007270,0.0019274,0.0008944,0.0021919,0.0028627,0.0029804,0.0013610,0.0017891,0.0013787,0.0019540,0.0027560,0.0071795,0.0018622,0.0021747,0.0030828,0.0018803,0.0065727,0.0012387,0.0025371,0.0172700,0.0110482,0.0065727
213,Support activities for mining,0.0012100,0.0003766,0.0616072,0.0238605,1.0200804,0.0032808,0.0013534,0.0007714,0.0026421,0.0024846,0.0022262,0.0007665,0.0002207,0.0010935,0.0007880,0.0003684,0.0007938,0.0006352,0.0008438,0.0011813,0.0003748,0.0010817,0.0008064,0.0371382,0.0032200,0.0013550,0.0002663,0.0002973,0.0003869,0.0002049,0.0002515,0.0033125,0.0012957,0.0027194,0.0021729,0.0012612,0.0004689,0.0014277,0.0007762,0.0001684,0.0001498,0.0002339,0.0002616,0.0002278,0.0003886,0.0000842,0.0003607,0.0000687,0.0005259,0.0003224,0.0000896,0.0001739,0.0002856,0.0001990,0.0003864,0.0009297,0.0008216,0.0003640,0.0005514,0.0003392,0.0003436,0.0002853,0.0011410,0.0003324,0.0004094,0.0003527,0.0006434,0.0003561,0.0009091,0.0014091,0.0040765,0.0012327,0.0003561
22,Utilities,0.0283385,0.0052768,0.0220101,0.0336836,0.0057695,0.7911940,0.0122862,0.0198147,0.0371079,0.0343276,0.0229485,0.0142571,0.0060755,0.0186995,0.0165983,0.0137116,0.0182710,0.0108103,0.0224504,0.0250475,0.0140209,0.0392747,0.0220786,0.0181862,0.0205019,0.0264872,0.0091895,0.0152098,0.0264376,0.0192230,0.0136816,0.0114558,0.0053678,0.0099704,0.0161106,0.0095076,0.0271195,0.0089889,0.0169653,0.0047394,0.0062171,0.0136356,0.0106631,0.0057593,0.0071476,0.0029874,0.0141311,0.0009529,0.0242573,0.0074573,0.0038392,0.0040904,0.0070586,0.0089513,0.0075491,0.0179489,0.0172930,0.0082414,0.0133016,0.0171485,0.0100043,0.0102376,0.0207131,0.0225481,0.0225484,0.0124088,0.0102677,0.0054690,0.0247502,0.0151437,0.0607760,0.0199641,0.0054690
23,Construction,0.0103040,0.0030230,0.0067852,0.0428735,0.0165348,0.0474567,1.0057558,0.0091183,0.0185982,0.0176340,0.0123030,0.0080054,0.0034110,0.0090481,0.0086149,0.0053748,0.0090038,0.0062518,0.0099660,0.0090426,0.0045909,0.0157411,0.0104257,0.0138655,0.0076557,0.0105143,0.0071203,0.0113047,0.0153263,0.0120549,0.0100400,0.0067702,0.0371928,0.0093817,0.0086143,0.0214176,0.0397813,0.0173282,0.0104031,0.0038505,0.0041670,0.0090038,0.0063952,0.0086928,0.0093696,0.0039192,0.0081161,0.0284480,0.0405158,0.0081098,0.0037450,0.0027277,0.0057597,0.0065944,0.0052319,0.0096539,0.0112375,0.0056497,0.0117860,0.0102807,0.0081813,0.0073579,0.0371828,0.0203429,0.0103521,0.0133278,0.0190093,0.0050002,0.0102166,0.0200924,0.1569389,0.0151803,0.0050002
321,Wood products,0.0052851,0.0021219,0.0017757,0.0072638,0.0035640,0.0035225,0.0372495,1.2478867,0.0070290,0.0120627,0.0077617,0.0067490,0.0028259,0.0108842,0.0126044,0.0032257,0.1303032,0.0125015,0.0052334,0.0054173,0.0025948,0.0379132,0.0063714,0.0019402,0.0027465,0.0139817,0.0056207,0.0024586,0.0050474,0.0019771,0.0031109,0.0012449,0.0540297,0.0021403,0.0029866,0.0024617,0.0023490,0.0027061,0.0022325,0.0011725,0.0014157,0.0027576,0.0034735,0.0011001,0.0015786,0.0007592,0.0013394,0.0012684,0.0082059,0.0031903,0.0008353,0.0009186,0.0020269,0.0014092,0.0027391,0.0026802,0.0024971,0.0019827,0.0030573,0.0020643,0.0050418,0.0017012,0.0047457,0.0056513,0.0033949,0.0042406,0.0021531,0.0016353,0.0017848,0.0040679,0.0093218,0.0409276,0.0016353
327,Nonmetallic mineral products,0.0021623,0.0006470,0.0066615,0.0177947,0.0079262,0.0055731,0.0456271,0.0102777,1.1256605,0.0191084,0.0101526,0.0084072,0.0019216,0.0160648,0.0180225,0.0033952,0.0097459,0.0071153,0.0057804,0.0045129,0.0070084,0.0057736,0.0024845,0.0065024,0.0042466,0.0113546,0.0012444,0.0020501,0.0018533,0.0010629,0.0015768,0.0015689,0.0032406,0.0022671,0.0020197,0.0027507,0.0026185,0.0023903,0.0015519,0.0007635,0.0006614,0.0036440,0.0020513,0.0008754,0.0013169,0.0006163,0.0011481,0.0014387,0.0031801,0.0029051,0.0005176,0.0010351,0.0030048,0.0010569,0.0021342,0.0038382,0.0018199,0.0029304,0.0036930,0.0018475,0.0036487,0.0010813,0.0051263,0.0020510,0.0036198,0.0035607,0.0024528,0.0023182,0.0015361,0.0028187,0.0183453,0.0072204,0.0023182
