bea_code,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other
111CA,1.3041073,0.0345167,0.0010628,0.0015454,9.511e-4,9.392e-4,0.0024134,0.0069636,0.003979,0.0021602,0.0016301,0.0012425,6.057e-4,0.0016977,0.0021442,7.915e-4,0.0037156,0.00315,0.3703945,0.0338329,0.0201426,0.0046481,0.0053609,0.0019083,0.025077,0.0087064,0.0013218,0.0015874,0.0018878,0.001099,8.98e-4,0.0020768,8.556e-4,0.002601,7.605e-4,8.684e-4,5.712e-4,0.0010412,5.627e-4,5.733e-4,7.841e-4,7.883e-4,0.0010432,7.21e-4,9.481e-4,4.647e-4,9.363e-4,1.418e-4,0.0020695,0.0010535,5.109e-4,8.847e-4,0.0023745,0.0011027,0.0022858,0.0029001,0.0093431,0.0026398,0.0066943,0.0080288000000000009,0.0200493,0.003356,0.0118506,0.0069936,0.0301151,0.001573,0.0038757,9.317e-4,0.0023797,0.0168592,0.0016797,0.0085142,9.317e-4
113FF,0.0842905,1.1369556,4.376e-4,0.0023847,6.607e-4,6.645e-4,0.0049799,0.1494707,0.0019589,0.0024283,0.0016033,0.0014463,5.789e-4,0.0022098,0.0025955,7.162e-4,0.0182947,0.0043048,0.0324796,0.00407,0.0113895,0.0303013,0.0047207,5.318e-4,0.0030249,0.0100773,0.0010554,5.609e-4,0.0025037,4.462e-4,6.255e-4,5.965e-4,0.0066289,6.54e-4,5.874e-4,7.184e-4,4.389e-4,6.88e-4,4.451e-4,3.143e-4,3.355e-4,5.527e-4,6.672e-4,3.22e-4,4.501e-4,2.694e-4,4.091e-4,1.872e-4,0.0014597,7.113e-4,2.43e-4,3.556e-4,7.362e-4,4.54e-4,8.116e-4,0.0010299,0.0017566,8.319e-4,0.0016327,0.0012921,0.0026511,6.487e-4,0.0033043,0.0028032,0.0075126,9.854e-4,7.939e-4,5.239e-4,6.973e-4,0.0040028,0.00157,0.0080224,5.239e-4
211,0.0171043,0.0055604,1.0781853,0.0154204,0.0068513,0.0506491,0.014766,0.0104813,0.0115643,0.0159619,0.0086831,0.0067973,0.0023646,0.0104479,0.0075794,0.0034493,0.0089564,0.0076933,0.0112983,0.017238,0.0051919,0.0129932,0.0114348,0.574281,0.0496921,0.0193258,0.0038106,0.0042923,0.0056899,0.0029751,0.0036235,0.0508691,0.0189615,0.041129400000000003,0.0332079,0.0189668,0.006353,0.0216271,0.0119943,0.0024238,0.0021127,0.0029076,0.0031439,0.0033314,0.0056257,0.0011728,0.0052684,8.62e-4,0.0075638,0.0045591,0.001264,0.0023825,0.003697,0.0027355,0.0052605,0.0132003,0.0121803,0.0054089,0.008053,0.0049194,0.0045566,0.0035857,0.0160167,0.0045259,0.005657,0.0043924,0.0091053,0.0033238,0.0145097,0.0211074,0.0609498,0.0148682,0.0033238
212,0.0055383,9.69e-4,0.0037632,1.0928221,0.0028332,0.0115277,0.0158024,0.003348,0.0886315,0.0678008,0.0194561,0.0101923,0.0019618,0.0146818,0.0109348,0.0040542,0.0068828,0.0054468,0.0046742,0.004756,0.0020067,0.0102908,0.0030458,0.0062159,0.0089554,0.005852,9.564e-4,0.0010662,0.0014921,8.263e-4,9.463e-4,0.0016591,0.003062,0.0021487,0.0014907,0.0023933,0.0018574,0.0021449,0.0011105,7.065e-4,7.568e-4,0.0016345,0.0027326,6.141e-4,0.0012051,4.079e-4,0.0010749,5.651e-4,0.0022079,0.0011466,4.03e-4,7.057e-4,0.0018035,8.49e-4,0.0021312,0.0027733,0.0029367,0.0011757,0.0016628,0.0013051,0.0019077,0.0027435,0.0071541,0.0018407,0.0021308,0.0030474,0.0018197,0.006564,0.0012168,0.0024147,0.0172205,0.0109455,0.006564
213,0.0011883,3.701e-4,0.0616196,0.0238504,1.0210463,0.0032557,0.0012695,7.213e-4,0.0026069,0.0024229,9.748e-4,6.738e-4,1.883e-4,9.651e-4,7.037e-4,3.004e-4,7.021e-4,5.93e-4,8.044e-4,0.0011505,3.617e-4,0.0010222,7.743e-4,0.0367852,0.0031963,0.0013022,2.582e-4,2.894e-4,3.789e-4,2e-4,2.446e-4,0.0032767,0.0012713,0.0026619,0.0021432,0.0012398,4.294e-4,0.0014074,7.61e-4,1.63e-4,1.464e-4,2.147e-4,2.522e-4,2.233e-4,3.812e-4,8.18e-5,3.54e-4,6.58e-5,5.137e-4,3.11e-4,8.72e-5,1.651e-4,2.767e-4,1.934e-4,3.755e-4,8.888e-4,8.1e-4,3.578e-4,5.398e-4,3.323e-4,3.251e-4,2.802e-4,0.0011212,3.186e-4,3.969e-4,3.37e-4,6.15e-4,3.46e-4,8.974e-4,0.0013886,0.0040187,0.0011668,3.46e-4
22,0.0376449,0.0069971,0.0287657,0.0447578,0.007643,1.0522881,0.0162947,0.0262768,0.0492316,0.0455269,0.0304231,0.0188869,0.0080552,0.0247931,0.0219979,0.0181851,0.0242076,0.0143108,0.0297473,0.0331912,0.0185857,0.0521035,0.0292685,0.0238936,0.0271317,0.0351173,0.0121499,0.0201157,0.0350669,0.0255144,0.0181281,0.0151711,0.0070872,0.0131593,0.0213225,0.0125678,0.0359492,0.011879,0.0224804,0.0062716,0.0082178,0.0180924,0.0141369,0.0076134,0.0094374,0.0039493,0.0187427,0.0012602,0.0320756,0.0096906,0.0050256,0.0053962,0.0093267,0.0118293,0.0099279,0.0234636,0.0228947,0.0108823,0.0175702,0.0226512,0.0132204,0.0135378,0.0273752,0.029806,0.0298635,0.0163911,0.0135057,0.0071893,0.0327947,0.0199334,0.0270319,0.0263719,0.0071893
23,0.010304,0.003023,0.0067852,0.0428735,0.0165348,0.0474567,1.0057558,0.0091183,0.0185982,0.017634,0.012303,0.0080054,0.003411,0.0090481,0.0086149,0.0053748,0.0090038,0.0062518,0.009966,0.0090426,0.0045909,0.0157411,0.0104257,0.0138655,0.0076557,0.0105143,0.0071203,0.0113047,0.0153263,0.0120549,0.01004,0.0067702,0.0371928,0.0093817,0.0086143,0.0214176,0.0397813,0.0173282,0.0104031,0.0038505,0.004167,0.0090038,0.0063952,0.0086928,0.0093696,0.0039192,0.0081161,0.028448,0.0405158,0.0081098,0.003745,0.0027277,0.0057597,0.0065944,0.0052319,0.0096539,0.0112375,0.0056497,0.011786,0.0102807,0.0081813,0.0073579,0.0371828,0.0203429,0.0103521,0.0133278,0.0190093,0.0050002,0.0102166,0.0200924,0.1569389,0.0151803,0.0050002
321,0.005245,0.0020662,0.0015715,0.0071754,0.0032674,0.0032446,0.0371824,1.2583826,0.0065408,0.0084369,0.0051767,0.0061668,0.0027096,0.0100996,0.0120774,0.002973,0.1185585,0.0121349,0.0051202,0.005302,0.0025462,0.0375466,0.0062417,0.0018002,0.0026422,0.0133872,0.0056013,0.0024225,0.0050331,0.0019568,0.0030769,0.0011982,0.054397,0.0020776,0.0028707,0.0023797,0.0022166,0.0023249,0.0021826,0.0011535,0.0014049,0.002704,0.0034495,0.0010844,0.0015481,7.444e-4,0.0013117,0.0012476,0.0082044,0.0031458,8.255e-4,8.883e-4,0.0019931,0.0013792,0.0026911,0.002523,0.0023694,0.0019521,0.003011,0.0020335,0.0049978,0.0016698,0.0046521,0.0056377,0.0033504,0.003054,0.0020687,0.0015662,0.001734,0.0040228,0.0091361,0.0131552,0.0015662
327,0.0020971,6.317e-4,0.0066738,0.0103333,0.0079584,0.0055182,0.0458775,0.0101172,1.135572,0.0187114,0.0099733,0.0083198,0.0019044,0.0156458,0.0179689,0.0033631999999999998,0.0080902,0.0069168,0.0057455,0.003714,0.0023499,0.0054802,0.002393,0.0062771,0.003898,0.0105455,0.0012301,0.0020497,0.0018461,0.0010509,0.0015719,0.001544,0.003223,0.0022443,0.0020026,0.0027388,0.0026174,0.00237,0.001546,7.594e-4,6.554e-4,0.0036512,0.0020409,8.742e-4,0.0013116,6.134e-4,0.0011434,0.0014443,0.0031786,0.0029102,5.162e-4,0.0010306,0.0030015,0.0010523,0.0021216,0.0038223,0.0017985,0.0029228,0.0036897,0.0018347,0.0036455,0.0010612,0.0050996,0.0020425,0.0036193,0.0035319,0.0024375,0.0022767,0.0015208,0.0027962,0.01834,0.0066852,0.0022767
331,0.0111596,0.0030294,0.0491784,0.026639,0.0140719,0.0114629,0.0384357,0.0250653,0.0395621,1.4309681,0.3553796,0.1848971,0.0302589,0.2590858,0.1812879,0.0644555,0.1009882,0.0669678,0.0194947,0.0208608,0.00984,0.0353324,0.0169274,0.0317385,0.0118249,0.0323907,0.0056565,0.0051147,0.0050546,0.0030866,0.004279,0.0062723,0.0192781,0.0152835,0.0094575,0.0083692,0.0128901,0.0095553,0.0076776,0.0029557,0.0020718,0.0094413,0.0065068,0.0020329,0.0036699,0.0015657,0.0032533,0.001503,0.0086704,0.0063698,0.0015288,0.0048621,0.0060069,0.0036233,0.0084775,0.0225805,0.0074095,0.0042592,0.0064962,0.0044512,0.0107897,0.0032538,0.0122623,0.0060069,0.0063078,0.0160816,0.0168556,0.0097094,0.0089093,0.0071003,0.0271547,0.1352477,0.0097094
