bea_code,output
111CA,572741
113FF,67211
211,438824
212,135721
213,110289
22,603774
23,2508497
321,173952
327,175089
331,301892
332,458799
333,436395
334,411954
335,193119
3361MV,770569
3364OT,376961
337,84552
339,177699
311FT,1238463
313TT,46827
315AL,21862
322,218686
323,84346
324,649257
325,990617
326,297324
42,2629509
441,485502
445,318257
452,254347
4A0,1468895
481,299488
482,95998
483,77194
484,526269
485,176504
486,73123
487OS,354422
493,188312
511,650245
512,205261
513,900261
514,887224
521CI,1420519
523,930911
524,1496709
525,264623
HS,3192628
ORE,2046309
532RL,649989
5411,461439
5415,725136
5412OP,2262334
55,855850
561,1327842
562,174691
61,494369
621,1623303
622,1256063
623,342393
624,352390
711AS,312772
713,227924
721,345621
722,1279013
81,1074219
GFGD,891866
GFGN,629608
GFE,117526
GSLG,3297076
GSLE,536871
