bea_code,pce
111CA,247082
113FF,13841
211,0
212,388
213,0
22,370340
23,0
321,9311
327,29619
331,3947
332,99248
333,50220
334,234643
335,172695
3361MV,484922
3364OT,61278
337,151397
339,358043
311FT,1528583
313TT,107460
315AL,554679
322,77920
323,14405
324,446675
325,838804
326,119612
42,0
441,0
445,0
452,0
4A0,16101
481,263949
482,1580
483,31379
484,13531
485,84240
486,0
487OS,25891
493,242
511,251173
512,31429
513,390577
514,161329
521CI,414809
523,341004
524,518887
525,285522
HS,3143691
ORE,8094
532RL,106861
5411,141844
5415,0
5412OP,124768
55,0
561,100663
562,40766
61,476150
621,1597086
622,1547193
623,339835
624,357137
711AS,126226
713,289915
721,212298
722,1188857
81,935473
GFGD,0
GFGN,0
GFE,6649
GSLG,0
GSLE,107344
Used,274602
Other,-36201
