bea_code,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other
111CA,1.2980547,0.1328317,6.466e-4,0.0012325,6.559e-4,6.888e-4,0.0022075,0.018338,0.0026444,0.0012796,9.817e-4,7.171e-4,4.059e-4,0.0010471,0.0012432,4.368e-4,0.0031723,0.0024118,0.337941,0.0297118,0.0175803,0.0054607,0.0043962,0.0011865,0.0206212,0.0057723,0.0010337,0.0012616,0.0014109,5.391e-4,6.647e-4,0.0013304,0.0011104,0.0019492,5.273e-4,6.289e-4,4.195e-4,7.439e-4,3.919e-4,4.123e-4,5.687e-4,5.559e-4,7.57e-4,5.176e-4,6.306e-4,2.995e-4,6.37e-4,1.139e-4,0.0015078,7.609e-4,3.717e-4,6.349e-4,0.0015645,7.463e-4,0.0018184,0.0021979,0.0075675,0.0017868,0.0053141,0.0063307,0.0166538,0.0028756,0.0180228,0.0055212,0.0209074,0.0011597,0.0029419,3.577e-4,0.0017876,0.0139114,0.0012466,0.0072343,3.577e-4
113FF,0.0709814,0.9851908,2.066e-4,0.0017514,3.881e-4,3.889e-4,0.0033227,0.1230101,0.0012164,0.0013102,8.843e-4,6.758e-4,3.278e-4,0.0012807,0.0012743,3.202e-4,0.0111266,0.0019294,0.0200488,0.0025112,0.0083316,0.0235632,0.0024976,2.261e-4,0.0016377,0.0035293,6.701e-4,3.27e-4,7.429e-4,2.386e-4,3.682e-4,2.094e-4,0.0050103,3.394e-4,3.423e-4,4.131e-4,2.596e-4,3.867e-4,2.534e-4,1.764e-4,1.841e-4,3.036e-4,3.981e-4,1.565e-4,2.158e-4,1.327e-4,1.896e-4,1.147e-4,8.819e-4,3.914e-4,1.264e-4,1.571e-4,3.975e-4,2.345e-4,4.631e-4,5.669e-4,0.001011,3.764e-4,9.052e-4,6.288e-4,0.0015044,3.506e-4,0.0015495,0.0010161,0.001954,5.565e-4,3.845e-4,2.702e-4,3.163e-4,0.0025427,9.174e-4,0.0058984,2.702e-4
211,0.0090559,0.0028624,1.0536895,0.0089765,0.003831,0.0367884,0.0086211,0.0057062,0.006298,0.0069349,0.0038444,0.0031483,0.0010514,0.0049145,0.0030473,0.0014752,0.0043211,0.0040297,0.005797,0.008295,0.0025247,0.006359,0.0055467,0.3758902,0.0305957,0.0096482,0.0021449,0.0025868,0.0036952,0.0017713,0.0021844,0.0234987,0.0089309,0.0191235,0.0201196,0.0121658,0.0042769,0.0126224,0.0077846,0.0016085,0.0012432,0.0016219,0.0018764,0.0019844,0.0032487,6.01e-4,0.0030745,5.253e-4,0.0046488,0.002678,7.217e-4,0.0012974,0.0015948,0.0014182,0.0029153,0.0070764,0.0080563,0.0029331,0.0044953,0.0028816,0.0025477,0.0021387,0.0109773,0.0026855,0.0031774,0.0024931,0.0040556,0.0015847,0.0103491,0.0114666,0.0433606,0.0076249,0.0015847
212,0.0045466,7.303e-4,0.0024172,1.081746,0.0029882,0.010781,0.0136387,0.0022597,0.080758,0.0504702,0.0122297,0.0056651,9.882e-4,0.007286,0.005682,0.0020736,0.0040957,0.0030364,0.0033183,0.0036665,0.0013565,0.0083755,0.0020979,0.0047403,0.0099146,0.0043809,6.443e-4,7.693e-4,0.001205,6.083e-4,6.861e-4,7.712e-4,0.0024613,0.0013227,0.0010324,0.0019544,0.0014413,0.0016651,7.639e-4,5.422e-4,5.974e-4,0.0010971,0.0024043,4.433e-4,5.884e-4,2.647e-4,6.287e-4,4.798e-4,0.0017751,7.901e-4,3.088e-4,4.504e-4,0.0012841,5.729e-4,0.0017006,0.0017955,0.002489,8.387e-4,0.0011714,0.0010131,0.0013439,0.002517,0.0065233,0.0014792,0.0016425,0.002395,9.963e-4,0.0058702,7.979e-4,0.0016798,0.0157552,0.0073561,0.0058702
213,6.177e-4,1.806e-4,0.059373,0.022704,1.0194665,0.0023122,8.334e-4,4.07e-4,0.0020412,0.0014704,0.00172,3.624e-4,1.058e-4,5.323e-4,3.444e-4,1.754e-4,4.006e-4,3.244e-4,4.259e-4,5.658e-4,1.801e-4,5.76e-4,3.801e-4,0.0216252,0.0019429,6.757e-4,1.408e-4,1.681e-4,2.392e-4,1.16e-4,1.425e-4,0.0013648,5.719e-4,0.0011525,0.0011803,7.43e-4,3.087e-4,7.61e-4,4.661e-4,1.067e-4,8.52e-5,1.269e-4,1.632e-4,1.249e-4,2.014e-4,4.14e-5,1.916e-4,4.18e-5,3.079e-4,1.767e-4,4.9e-5,8.97e-5,1.326e-4,1.015e-4,2.07e-4,4.661e-4,5.139e-4,1.872e-4,2.864e-4,1.885e-4,1.839e-4,1.763e-4,7.675e-4,1.914e-4,2.224e-4,2.013e-4,2.684e-4,2.169e-4,6.076e-4,6.964e-4,0.0028117,6.341e-4,2.169e-4
22,0.0267692,0.0048249,0.0203714,0.0322042,0.0049407,0.7902602,0.0105425,0.0176975,0.0346607,0.0274982,0.0189756,0.0107811,0.0050599,0.0140359,0.0116039,0.0107988,0.0148836,0.0089212,0.0200036,0.0215522,0.0123067,0.0351744,0.0194773,0.0120623,0.0177189,0.0232197,0.0086144,0.0147214,0.0258989,0.0186478,0.0132301,0.0099667,0.0045365,0.0086074,0.0152206,0.008759,0.0266472,0.0081791,0.0164015,0.0044478,0.005806,0.0128598,0.0101734,0.0054733,0.006393,0.00256,0.0135236,8.613e-4,0.0235658,0.0069345,0.0036572,0.0036964,0.0062205,0.0084153,0.0068563,0.0166451,0.0166387,0.0075288,0.0125293,0.0164909,0.0091361,0.0098521,0.0198587,0.0218352,0.0215532,0.0116206,0.0090358,0.0047854,0.0239405,0.0141039,0.0591561,0.0174255,0.0047854
23,0.0095902,0.002813,0.0060303,0.0421309,0.0161012,0.0470177,1.004901,0.0081282,0.0172994,0.013908,0.0102496,0.0062061,0.0028705,0.0066821,0.0060559,0.0040811,0.0074198,0.0053334,0.0088857,0.0076601,0.0039108,0.0139384,0.0093033,0.0118039,0.0064923,0.0091466,0.0068266,0.0110723,0.0150977,0.0118279,0.0098244,0.0057961,0.0367518,0.0085817,0.0081904,0.0210328,0.0395658,0.016918,0.0101322,0.0036976,0.003933,0.0085965,0.0061439,0.0085322,0.0088306,0.0035071,0.0076983,0.0283994,0.0401907,0.0078351,0.0036499,0.0025171,0.0053743,0.0063233,0.0048844,0.0089992,0.0109168,0.0053276,0.0114063,0.009985,0.0077626,0.0071578,0.0367773,0.0200302,0.0099062,0.0129287,0.0183731,0.0046439,0.0098711,0.0195973,0.1561284,0.0139056,0.0046439
321,0.0044425,0.0018639,0.0011712,0.0061486,0.0028989,0.0027751,0.0301756,1.2016906,0.0057551,0.0082497,0.005618,0.004291,0.0022294,0.0083972,0.0084503000000000009,0.0019827,0.0992698,0.0093859,0.0039447,0.0034735,0.0017927,0.0298494,0.0040252,0.0011222,0.0019312,0.0110783,0.0049477,0.0020005,0.004431,0.0016185,0.0025728,8.147e-4,0.0482802,0.0015868,0.0024449,0.0018544,0.0018552,0.0021378,0.0017467,9.314e-4,0.0011102,0.0021451,0.0028512,8.415e-4,0.0011616,5.434e-4,9.897e-4,9.816e-4,0.0070078,0.002567,6.657e-4,6.589e-4,0.0015561,0.0010764,0.0021559,0.0018716,0.0019018,0.0014913,0.0023051,0.0016093,0.0040221,0.0011481,0.0036521,0.0039247,0.0026037,0.0034582,0.0014478,0.0012083,0.0012751,0.0030031,0.0071962,0.037781,0.0012083
327,0.0013115,3.983e-4,0.0048364,0.0162542,0.006522,0.0046133,0.0393567,0.0072993,1.0968202,0.0123495,0.0055853,0.0042866,0.0010459,0.0106786,0.0111201,0.0015722,0.0063039,0.0045501,0.003914,0.0028752,0.0060923,0.0041346,0.0014327,0.0035925,0.0029226,0.0077263,8.278e-4,0.0013145,0.0013411,7.698e-4,0.001086,8.155e-4,0.0024283,0.0014015,0.001252,0.0020975,0.0020656,0.0017551,9.512e-4,5.306e-4,4.505e-4,0.0022742,0.0014944,6.329e-4,8.201e-4,4.044e-4,7.427e-4,0.0012272,0.0024925,0.0021475,3.727e-4,7.231e-4,0.002197,7.106e-4,0.0014166,0.0021867,0.0011639,0.0020902,0.0019723,0.0012568,0.0026809,7.73e-4,0.0041097,0.0015278,0.0023789,0.0026504,0.0015345,0.0011728,9.313e-4,0.001809,0.0156837,0.0045075,0.0011728
331,0.0032618,0.0011112,0.028831,0.0129868,0.0063678,0.0056564,0.0188093,0.0118271,0.0240089,1.1918766,0.2410354,0.1125431,0.0153166,0.133359,0.099165,0.033342,0.0596052,0.0338796,0.0090477,0.0110847,0.0044804,0.0173312,0.0074028,0.0127979,0.0050356,0.0176651,0.002366,0.0020082,0.0020757,0.0011977,0.0016564,0.0020494,0.0122845,0.0077944,0.0039874,0.0035295,0.0079088,0.0042506,0.0033114,0.0013032,8.215e-4,0.0035969,0.002969,8.267e-4,0.001249,5.649e-4,0.0011119,7.169e-4,0.0039711,0.0028428,6.03e-4,0.0018111,0.0024036,0.0012998,0.0031912,0.0094337,0.0033768,0.0016545,0.0025703,0.001698,0.0047304,0.0012825,0.0058504,0.0024144,0.0026848,0.0094472,0.0066212,0.0040395,0.0032011,0.0027774,0.0126272,0.1283756,0.0040395
