bea_code,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other
111CA,1.310984,0.1351286,0.001107,0.0017628,0.0010168,0.0010038,0.0028632,0.0202884,0.0041602,0.0023836,0.0017792,0.0013768,6.591e-4,0.0018989,0.0023812,8.586e-4,0.0053498,0.0035359,0.3731089,0.0341832,0.021147,0.0073382,0.005785,0.0019592,0.0253374,0.0096024,0.0014291,0.0016413,0.0021167,0.0011417,9.648e-4,0.0021332,0.0014509,0.0026658,8.166e-4,9.375e-4,6.133e-4,0.0011069,6.049e-4,6.075e-4,8.2e-4,8.431e-4,0.0011145,7.655e-4,0.0010059,4.923e-4,9.901e-4,1.596e-4,0.0022061,0.0011302,5.424e-4,9.372e-4,0.0024493,0.0011769,0.0023751,0.0030047,0.0095065,0.0027293,0.0068442,0.0081493,0.0202884,0.0034238,0.0204314,0.0072553,0.0307861,0.0016659,0.0039762,9.816e-4,0.002443,0.0172243,0.0018272,0.0092341,9.816e-4
113FF,0.073147,0.9856951,3.794e-4,0.0020675,5.728e-4,5.761e-4,0.0043175,0.1295853,0.0016985,0.0021053,0.0013901,0.001254,5.019e-4,0.0019159,0.0022503000000000002,6.209e-4,0.0158609,0.0037323,0.0281785,0.0035303,0.0098754,0.0262702,0.0040929,4.611e-4,0.0026238,0.0087371,9.15e-4,4.864e-4,0.0021707,3.869e-4,5.423e-4,5.172e-4,0.005747,5.671e-4,5.092e-4,6.229e-4,3.806e-4,5.965e-4,3.859e-4,2.725e-4,2.909e-4,4.792e-4,5.785e-4,2.792e-4,3.903e-4,2.336e-4,3.547e-4,1.623e-4,0.0012656,6.167e-4,2.107e-4,3.083e-4,6.384e-4,3.937e-4,7.037e-4,8.93e-4,0.0015234,7.214e-4,0.0014158,0.0011206,0.0022995,5.626e-4,0.0028653,0.0024306,0.0065147,8.544e-4,6.885e-4,4.542e-4,6.046e-4,0.0034711,0.0013612,0.0069555,4.542e-4
211,0.018643,0.0060808,1.0777933,0.017433,0.0076063,0.0527508,0.0163343,0.0112497,0.0124423,0.017517,0.0094228,0.0079771,0.0025418,0.0113923,0.008185,0.0037159,0.0096225,0.0082707,0.0122684,0.0179473,0.0055155,0.0139748,0.0122854,0.6416913,0.0510534,0.020155,0.0041304,0.0046407,0.0060598,0.0031763,0.003902,0.0567392,0.0211041,0.0457709,0.0369502,0.0207964,0.0068015,0.023828,0.0128954,0.0025683,0.0022622,0.0031234,0.0033735,0.0036642,0.0061957,0.0012634,0.0057727,9.386e-4,0.0081365,0.0049918,0.0013637,0.0026045,0.0039414,0.0029406,0.005747,0.0144813,0.0130698,0.0057482,0.0087749,0.0052936,0.0049542,0.003873,0.0169622,0.0048767,0.0061248,0.004745,0.0100435,0.00362,0.0152492,0.0233657,0.0639675,0.0163214,0.00362
212,0.0058357,0.0010694,0.0039273,1.0843549,0.0037743,0.0115152,0.0158653,0.0036687,0.0899126,0.0674095,0.0194733,0.010236,0.0020075,0.0147724,0.0110989,0.0040982,0.0071209,0.0056616,0.0048585,0.0059074,0.0021823,0.010549,0.003397,0.0066491,0.0133081,0.0071033,9.954e-4,0.0010957,0.0015189,8.522e-4,9.761e-4,0.001708,0.0030972,0.0022028,0.0015351,0.0024287000000000002,0.0018745,0.0021798,0.0011375,7.273e-4,7.807e-4,0.0016643,0.0027544,6.29e-4,0.0012314,4.24e-4,0.0010969,5.695e-4,0.002265,0.0011767,4.145e-4,7.27e-4,0.0019274,8.944e-4,0.0021919,0.0028627,0.0029804,0.001361,0.0017891,0.0013787,0.001954,0.002756,0.0071795,0.0018622,0.0021747,0.0030828,0.0018803,0.0065727,0.0012387,0.0025371,0.01727,0.0110482,0.0065727
213,0.00121,3.766e-4,0.0616072,0.0238605,1.0200804,0.0032808,0.0013534,7.714e-4,0.0026421,0.0024846,0.0022262,7.665e-4,2.207e-4,0.0010935,7.88e-4,3.684e-4,7.938e-4,6.352e-4,8.438e-4,0.0011813,3.748e-4,0.0010817,8.064e-4,0.0371382,0.00322,0.001355,2.663e-4,2.973e-4,3.869e-4,2.049e-4,2.515e-4,0.0033125,0.0012957,0.0027194,0.0021729,0.0012612,4.689e-4,0.0014277,7.762e-4,1.684e-4,1.498e-4,2.339e-4,2.616e-4,2.278e-4,3.886e-4,8.42e-5,3.607e-4,6.87e-5,5.259e-4,3.224e-4,8.96e-5,1.739e-4,2.856e-4,1.99e-4,3.864e-4,9.297e-4,8.216e-4,3.64e-4,5.514e-4,3.392e-4,3.436e-4,2.853e-4,0.001141,3.324e-4,4.094e-4,3.527e-4,6.434e-4,3.561e-4,9.091e-4,0.0014091,0.0040765,0.0012327,3.561e-4
22,0.0283385,0.0052768,0.0220101,0.0336836,0.0057695,0.791194,0.0122862,0.0198147,0.0371079,0.0343276,0.0229485,0.0142571,0.0060755,0.0186995,0.0165983,0.0137116,0.018271,0.0108103,0.0224504,0.0250475,0.0140209,0.0392747,0.0220786,0.0181862,0.0205019,0.0264872,0.0091895,0.0152098,0.0264376,0.019223,0.0136816,0.0114558,0.0053678,0.0099704,0.0161106,0.0095076,0.0271195,0.0089889,0.0169653,0.0047394,0.0062171,0.0136356,0.0106631,0.0057593,0.0071476,0.0029874,0.0141311,9.529e-4,0.0242573,0.0074573,0.0038392,0.0040904,0.0070586,0.0089513,0.0075491,0.0179489,0.017293,0.0082414,0.0133016,0.0171485,0.0100043,0.0102376,0.0207131,0.0225481,0.0225484,0.0124088,0.0102677,0.005469,0.0247502,0.0151437,0.060776,0.0199641,0.005469
23,0.010304,0.003023,0.0067852,0.0428735,0.0165348,0.0474567,1.0057558,0.0091183,0.0185982,0.017634,0.012303,0.0080054,0.003411,0.0090481,0.0086149,0.0053748,0.0090038,0.0062518,0.009966,0.0090426,0.0045909,0.0157411,0.0104257,0.0138655,0.0076557,0.0105143,0.0071203,0.0113047,0.0153263,0.0120549,0.01004,0.0067702,0.0371928,0.0093817,0.0086143,0.0214176,0.0397813,0.0173282,0.0104031,0.0038505,0.004167,0.0090038,0.0063952,0.0086928,0.0093696,0.0039192,0.0081161,0.028448,0.0405158,0.0081098,0.003745,0.0027277,0.0057597,0.0065944,0.0052319,0.0096539,0.0112375,0.0056497,0.011786,0.0102807,0.0081813,0.0073579,0.0371828,0.0203429,0.0103521,0.0133278,0.0190093,0.0050002,0.0102166,0.0200924,0.1569389,0.0151803,0.0050002
321,0.0052851,0.0021219,0.0017757,0.0072638,0.003564,0.0035225,0.0372495,1.2478867,0.007029,0.0120627,0.0077617,0.006749,0.0028259,0.0108842,0.0126044,0.0032257,0.1303032,0.0125015,0.0052334,0.0054173,0.0025948,0.0379132,0.0063714,0.0019402,0.0027465,0.0139817,0.0056207,0.0024586,0.0050474,0.0019771,0.0031109,0.0012449,0.0540297,0.0021403,0.0029866,0.0024617,0.002349,0.0027061,0.0022325,0.0011725,0.0014157,0.0027576,0.0034735,0.0011001,0.0015786,7.592e-4,0.0013394,0.0012684,0.0082059,0.0031903,8.353e-4,9.186e-4,0.0020269,0.0014092,0.0027391,0.0026802,0.0024971,0.0019827,0.0030573,0.0020643,0.0050418,0.0017012,0.0047457,0.0056513,0.0033949,0.0042406,0.0021531,0.0016353,0.0017848,0.0040679,0.0093218,0.0409276,0.0016353
327,0.0021623,6.47e-4,0.0066615,0.0177947,0.0079262,0.0055731,0.0456271,0.0102777,1.1256605,0.0191084,0.0101526,0.0084072,0.0019216,0.0160648,0.0180225,0.0033952,0.0097459,0.0071153,0.0057804,0.0045129,0.0070084,0.0057736,0.0024845,0.0065024,0.0042466,0.0113546,0.0012444,0.0020501,0.0018533,0.0010629,0.0015768,0.0015689,0.0032406,0.0022671,0.0020197,0.0027507,0.0026185,0.0023903,0.0015519,7.635e-4,6.614e-4,0.003644,0.0020513,8.754e-4,0.0013169,6.163e-4,0.0011481,0.0014387,0.0031801,0.0029051,5.176e-4,0.0010351,0.0030048,0.0010569,0.0021342,0.0038382,0.0018199,0.0029304,0.003693,0.0018475,0.0036487,0.0010813,0.0051263,0.002051,0.0036198,0.0035607,0.0024528,0.0023182,0.0015361,0.0028187,0.0183453,0.0072204,0.0023182
331,0.0111728,0.0031153,0.0487424,0.026485,0.0144013,0.0118019,0.0383863,0.0249925,0.0401644,1.4112331,0.3548285,0.1834761,0.0299878,0.2578712,0.1792192,0.0638462,0.1000216,0.0662478,0.0194543,0.0209002,0.0098032,0.0356387,0.0169409,0.0328283,0.0120296,0.0322867,0.005671,0.0051224,0.0050659,0.0031017,0.0042944,0.0063806,0.019147,0.0152781,0.0096062,0.0084313,0.0129561,0.0100905,0.0076886,0.0029574,0.0020741,0.0094246,0.0064852,0.0020464,0.0036927,0.0015744,0.0032731,0.0015156,0.00865,0.0063913,0.0015322,0.0048579,0.0059984,0.0036365,0.0084649,0.022566,0.0075465,0.0042655,0.0065146,0.004462,0.010751,0.0032372,0.0122676,0.0060186,0.0063254,0.0177964,0.0167748,0.0097029,0.008877,0.0071574,0.0271425,0.1783514,0.0097029
