bea_code,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
111CA,142140,132,0,38,18,0,3423,0,0,0,0,0,0,0,0,0,0,117,359411,1077,0,0,0,0,15840,0,1147,375,1099,238,179,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1115,44,1459,0,266,0,0,0,0,0,362,72,4562,12,49,-22,0,6107,0
113FF,31357,9446,0,138,0,0,0,23528,1,0,0,0,0,0,0,0,64,159,2583,0,109,4882,18,0,241,1084,0,0,158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,27,3,0,15,0,0,0,0,0,105,99,2060,26,0,19,4,5669,0
211,0,0,31044,19,69,29669,0,27,9,14,8,0,0,0,1,0,0,0,24,0,0,15,5,236275,13641,25,76,46,13,11,124,0,0,0,0,0,73,0,591,398,31,41,201,0,0,0,0,0,183,0,0,7,104,19,23,86,1618,690,15,29,40,34,247,43,29,192,0,0,1100,0,25348
212,1860,0,89,11591,150,7681,34337,11,16532,15260,564,91,4,65,62,101,17,107,1349,33,0,1572,0,2755,5046,139,20,0,0,0,2,0,126,0,8,0,0,1,2,21,18,203,1833,0,0,0,0,8,0,0,0,0,1651,40,1311,78,831,0,33,51,282,539,1075,180,1217,1703,0,4573,0,2471,8375
213,0,0,24224,2274,2410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12094,61,8382,3710,356,33559,14693,2143,5384,6580,5431,2333,1273,1511,3364,2964,712,780,11543,734,229,6610,1206,2488,14156,5371,15615,6269,8845,5752,17135,2594,80,197,6647,840,2304,1404,3088,1228,634,9451,7612,5108,2200,820,3179,148,43501,2416,773,1340,7704,5067,4831,2485,7932,6731,10499,4768,2008,1865,4847,6402,28575,10598,6040,1252,2903,39470,6468
23,2130,30,381,3874,1708,4965,620,496,1340,1577,1721,878,474,328,917,497,165,318,2883,106,4,1348,331,5369,2142,994,5562,2578,1321,2032,5189,445,2990,63,683,815,2718,1070,927,597,119,3261,2272,7530,2735,1319,218,85174,58125,1870,227,116,3399,1104,1221,253,2327,1158,3442,866,1007,417,969,3067,4426,7576,13203,838,628,48481,77058
321,1207,70,0,422,205,9,94908,37489,363,627,226,820,515,1056,3546,213,7310,1191,555,45,1,5116,1,0,298,2288,11504,358,1016,205,2120,0,4742,0,356,0,5,91,124,53,84,800,1880,174,7,0,0,37,9556,1041,11,30,1073,7,1315,41,70,695,697,6,964,12,332,1209,1555,568,50,108,1,5099,531
327,26,109,2004,735,909,42,145379,1104,23683,3499,1435,1259,245,2037,7713,248,289,761,4243,34,0,525,1,1024,1842,2112,115,262,29,461,834,0,18,0,130,0,0,14,44,3,2,1716,861,19,32,68,0,146,68,1274,0,255,6103,24,1080,261,87,3475,2535,170,795,14,196,116,3026,2458,146,618,0,2155,5407
331,53,0,8697,651,210,4,7903,287,2302,61175,96076,37579,2963,20797,50269,6182,3656,4101,2083,131,0,1282,19,7,27,1926,603,7,0,0,263,0,767,0,0,0,0,118,0,9,5,351,904,0,0,0,0,2,2878,143,0,0,1315,29,675,280,297,183,37,17,352,27,477,31,231,698,422,912,0,140,838
332,1345,161,11456,1186,670,879,170652,4165,3050,6599,47908,23910,7307,17042,28058,13803,5319,4246,20995,470,65,5827,1011,532,8265,8796,4123,545,297,212,2072,338,323,1766,1914,594,2321,373,960,838,44,8689,3287,405,338,0,10,34,1111,3319,22,3297,7500,566,3256,4035,533,562,2614,42,3342,79,801,2112,4789,6570,10252,1860,174,5192,10225
333,1692,20,12207,3519,2920,265,57237,589,163,1816,4531,27894,213,1988,27929,2933,129,185,4327,25,1,298,1074,42,4337,2745,1994,283,115,86,605,21,67,23,452,49,65,802,1310,56,30,1074,1893,6,47,92,0,88,328,1921,19,1545,2311,253,3845,3374,2092,916,937,189,293,22,304,73,998,7219,2279,426,-168,4906,2263
334,36,1,64,13,18,90,8377,1200,770,1862,5321,5483,30732,4477,13560,17012,908,1746,2472,324,10,1014,1044,125,4211,2396,31828,1090,183,126,1133,5,51,1,84,1,2,23,40,1932,369,17667,4666,758,1017,17,463,1,146,321,1012,4909,8022,13401,2788,554,1264,9734,1095,139,249,12,81,292,129,2474,24114,6287,0,1911,1954
