bea_code,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
111CA,2606,31,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,8,18123,5,0,0,0,0,475,0,27,35,22,4,27,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,101,0,65,0,0,0,0,0,121,8,3879,2,20,132,0,744,0
113FF,290,11,0,1,0,0,0,210,0,0,0,0,0,0,0,0,73,180,5796,0,9,40,19,0,271,1229,0,0,408,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,30,0,0,0,0,0,271,258,5328,74,0,0,11,787,0
211,0,0,7352,0,2,2001,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,161668,991,1,2,1,0,0,3,0,0,0,0,0,1,0,13,9,1,1,4,0,0,0,0,0,4,0,0,0,2,0,1,2,36,15,0,1,1,1,5,1,1,4,0,0,72,0,1709
212,124,0,1,137,4,74,638,0,797,1333,18,13,1,28,30,8,0,48,181,0,0,14,0,63,1253,1,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,1,0,0,0,0,0,0,11,0,0,0,8,0,0,87,0,750,57
213,0,0,323,61,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,15,0,18,14,1,88,70,7,15,21,17,8,5,4,10,9,2,4,32,3,0,18,4,6,34,18,65,25,39,26,74,2,0,2,17,2,6,8,12,6,2,39,31,21,9,3,0,1,159,14,3,6,30,22,17,8,9,25,34,18,8,6,19,25,114,37,7,1,23,25,9
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,13,0,0,3,11,0,10544,5133,5,1,40,168,2,0,433,29,1521,221,24,23,0,520,1,0,39,295,229,8,18,6,52,0,250,0,1,0,1,2,14,3,7,70,179,45,2,0,0,4,627,112,3,8,72,0,80,5,15,85,88,1,106,2,50,290,255,93,9,4,1,1088,48
327,0,0,285,8,75,0,9682,191,3840,573,610,510,68,306,1368,112,92,190,758,12,0,15,0,275,222,535,17,134,24,5,186,0,2,0,50,0,0,2,27,0,0,624,144,16,28,12,0,1,0,200,0,7,857,12,200,115,48,589,1543,48,110,2,42,12,927,213,16,372,0,883,277
331,46,0,1437,120,76,0,2430,82,526,36296,17494,6680,1228,9968,10130,1433,896,1713,488,7,0,284,6,7,11,352,146,2,0,0,460,0,46,0,0,0,0,6,0,5,4,46,493,0,0,0,0,0,1077,51,0,0,672,16,229,82,112,69,10,6,108,11,117,12,44,307,285,451,0,24,336
332,650,56,3398,153,88,414,23517,575,171,406,4582,3606,605,1350,4433,1547,674,363,1983,39,-3,708,38,37,1381,896,361,100,68,19,997,1,78,38,307,222,13,97,134,43,4,2824,452,54,31,0,27,4,864,443,11,400,1337,113,999,756,102,76,251,6,1048,15,321,608,1273,1253,2870,347,42,1656,1551
