cty_code,partner,country_name
5700,china,China
1220,canada,Canada
2010,mexico,Mexico
4120,uk,United Kingdom
5880,japan,Japan
4330,eu,Austria
4231,eu,Belgium
4870,eu,Bulgaria
4791,eu,Croatia
4910,eu,Cyprus
4351,eu,Czech Republic
4099,eu,Denmark
4470,eu,Estonia
4050,eu,Finland
4279,eu,France
4280,eu,Germany
4840,eu,Greece
4370,eu,Hungary
4190,eu,Ireland
4759,eu,Italy
4490,eu,Latvia
4510,eu,Lithuania
4239,eu,Luxembourg
4730,eu,Malta
4210,eu,Netherlands
4550,eu,Poland
4710,eu,Portugal
4850,eu,Romania
4359,eu,Slovakia
4792,eu,Slovenia
4700,eu,Spain
4010,eu,Sweden
6021,ftrow,Australia
5800,ftrow,Republic of Korea
5590,ftrow,Singapore
3370,ftrow,Chile
3010,ftrow,Colombia
3330,ftrow,Peru
2230,ftrow,Costa Rica
2050,ftrow,Guatemala
2150,ftrow,Honduras
2190,ftrow,Nicaragua
2250,ftrow,Panama
2110,ftrow,El Salvador
2470,ftrow,Dominican Republic
5250,ftrow,Bahrain
5081,ftrow,Israel
5110,ftrow,Jordan
5230,ftrow,Oman
7140,ftrow,Morocco
