gtap_code,china,canada,mexico,japan,uk,eu,row,ftrow,kr,vn
b_t,0,0,0,0,0,0,0,0,0,0
bph,0,0,0,0,0,0,0,0,0,0
c_b,0,0,0,0,0,0,0,0,0,0
chm,0,0,0,0,0,0,0,0,0,0
cmt,0,0,0,0,0,0,0,0,0,0
coa,0,0,0,0,0,0,0,0,0,0
ctl,0,0,0,0,0,0,0,0,0,0
eeq,0,0,0,0,0,0,0,0,0,0
ele,0,0,0,0,0,0,0,0,0,0
ely,0,0,0,0,0,0,0,0,0,0
fmp,0,0,0,0,0,0,0,0,0,0
frs,0,0,0,0,0,0,0,0,0,0
fsh,0,0,0,0,0,0,0,0,0,0
gas,0,0,0,0,0,0,0,0,0,0
gdt,0,0,0,0,0,0,0,0,0,0
gro,0,0,0,0,0,0,0,0,0,0
i_s,0,0,0,0,0,0,0,0,0,0
lea,0,0,0,0,0,0,0,0,0,0
lum,0,0,0,0,0,0,0,0,0,0
mil,0,0,0,0,0,0,0,0,0,0
mvh,0,0,0,0,0,0,0,0,0,0
nfm,0,0,0,0,0,0,0,0,0,0
nmm,0,0,0,0,0,0,0,0,0,0
oap,0,0,0,0,0,0,0,0,0,0
ocr,0,0,0,0,0,0,0,0,0,0
ofd,0,0,0,0,0,0,0,0,0,0
oil,0,0,0,0,0,0,0,0,0,0
ome,0,0,0,0,0,0,0,0,0,0
omf,0,0,0,0,0,0,0,0,0,0
omt,0,0,0,0,0,0,0,0,0,0
osd,0,0,0,0,0,0,0,0,0,0
otn,0,0,0,0,0,0,0,0,0,0
oxt,0,0,0,0,0,0,0,0,0,0
p_c,0,0,0,0,0,0,0,0,0,0
pcr,0,0,0,0,0,0,0,0,0,0
pdr,0,0,0,0,0,0,0,0,0,0
pfb,0,0,0,0,0,0,0,0,0,0
ppp,0,0,0,0,0,0,0,0,0,0
rpp,0,0,0,0,0,0,0,0,0,0
sgr,0,0,0,0,0,0,0,0,0,0
tex,0,0,0,0,0,0,0,0,0,0
v_f,0,0,0,0,0,0,0,0,0,0
vol,0,0,0,0,0,0,0,0,0,0
wap,0,0,0,0,0,0,0,0,0,0
wht,0,0,0,0,0,0,0,0,0,0
wol,0,0,0,0,0,0,0,0,0,0
