hs8,mfn_rate,rate_type,rate_raw
01012100,0,free,Free
01012900,0,free,Free
01013000,0.068,ad_valorem,6.8%
01022100,0,free,Free
01022920,0,free,Free
01022940,0,specific,1¢/kg
01023100,0,free,Free
01023900,0,specific,1¢/kg
01029000,0,specific,1¢/kg
01031000,0,free,Free
01039100,0,free,Free
01039200,0,free,Free
01041000,0,free,Free
01051100,0,specific,0.9¢ each
01051200,0,specific,0.9¢ each
01051300,0,specific,0.9¢ each
01051400,0,specific,0.9¢ each
01059400,0,specific,2¢/kg
01059900,0,specific,2¢/kg
01061100,0,free,Free
01061300,0,free,Free
01061400,0,free,Free
01061930,0.048,ad_valorem,4.8%
01061991,0,free,Free
01062000,0,free,Free
01063100,0.018000000000000002,ad_valorem,1.8%
01063200,0.018000000000000002,ad_valorem,1.8%
01063300,0.018000000000000002,ad_valorem,1.8%
01063901,0.018000000000000002,ad_valorem,1.8%
01064100,0,free,Free
01064900,0,free,Free
01069001,0,free,Free
02011005,0,specific,4.4¢/kg
02011010,0,specific,4.4¢/kg
02011050,0.264,ad_valorem,26.4%
02012010,0.04,ad_valorem,4%
02012030,0.1,ad_valorem,10%
02012050,0,specific,4.4¢/kg
02012080,0.264,ad_valorem,26.4%
02013010,0.04,ad_valorem,4%
02013030,0.1,ad_valorem,10%
02013050,0,specific,4.4¢/kg
02013080,0.264,ad_valorem,26.4%
02021005,0,specific,4.4¢/kg
02021010,0,specific,4.4¢/kg
02021050,0.264,ad_valorem,26.4%
02022002,0.04,ad_valorem,4%
02022010,0.04,ad_valorem,4%
02022030,0.1,ad_valorem,10%
02022050,0,specific,4.4¢/kg
02022080,0.264,ad_valorem,26.4%
02023006,0,specific,4.4¢/kg
02023010,0.04,ad_valorem,4%
02023030,0.1,ad_valorem,10%
02023050,0,specific,4.4¢/kg
02023080,0.264,ad_valorem,26.4%
02031100,0,free,Free
02031210,0,specific,1.4¢/kg
02031290,0,free,Free
02031920,0,specific,1.4¢/kg
02031940,0,free,Free
02032100,0,free,Free
02032210,0,specific,1.4¢/kg
02032290,0,free,Free
02032920,0,specific,1.4¢/kg
02032940,0,free,Free
02041000,0,specific,0.7¢/kg
02042100,0,specific,2.8¢/kg
02042220,0,specific,0.7¢/kg
02042240,0,specific,2.8¢/kg
02042320,0,specific,0.7¢/kg
02043000,0,specific,0.7¢/kg
02044100,0,specific,2.8¢/kg
02044220,0,specific,0.7¢/kg
02044240,0,specific,2.8¢/kg
02044320,0,specific,0.7¢/kg
02044340,0,specific,2.8¢/kg
02045000,0,free,Free
02050000,0,free,Free
02061000,0,free,Free
02062100,0,free,Free
02062200,0,free,Free
02062900,0,free,Free
02063000,0,free,Free
02064100,0,free,Free
02064900,0,free,Free
02068000,0,free,Free
02069000,0,free,Free
02071100,0,specific,8.8¢/kg
02071200,0,specific,8.8¢/kg
02071300,0,specific,17.6¢/kg
02071400,0,specific,17.6¢/kg
02072400,0,specific,15¢/kg
02072520,0,specific,8.8¢/kg
02072540,0.1,ad_valorem,10%
02072600,0,specific,17.6¢/kg
02072700,0,specific,17.6¢/kg
02074100,0,specific,8.8¢/kg
02074200,0,specific,8.8¢/kg
02074400,0,specific,17.6¢/kg
02074500,0,specific,17.6¢/kg
02075500,0,specific,17.6¢/kg
02076060,0,specific,17.6¢/kg
02081000,0.064,ad_valorem,6.4%
02085000,0.064,ad_valorem,6.4%
02086000,0.064,ad_valorem,6.4%
02089020,0,free,Free
02089025,0,free,Free
02089030,0,specific,7¢/kg
02089091,0.064,ad_valorem,6.4%
02091000,0.032,ad_valorem,3.2%
02099000,0.032,ad_valorem,3.2%
02101100,0,specific,1.4¢/kg
02101200,0,specific,1.4¢/kg
02101900,0,specific,1.4¢/kg
02102000,0,free,Free
02109920,0.023,ad_valorem,2.3%
02109991,0.023,ad_valorem,2.3%
03011100,0,free,Free
03011900,0,free,Free
03019100,0,free,Free
03019200,0,free,Free
03019302,0,free,Free
03019903,0,free,Free
03021100,0,free,Free
03021300,0,free,Free
03021400,0,free,Free
03021900,0,free,Free
03022100,0,free,Free
03022300,0,specific,1.1¢/kg
03022400,0,free,Free
03022901,0,free,Free
03023100,0,free,Free
03023200,0,free,Free
03023300,0,free,Free
03023400,0,free,Free
03023501,0,free,Free
03023600,0,free,Free
03023902,0,free,Free
03024100,0,free,Free
03024200,0,free,Free
03024300,0,free,Free
03024400,0,free,Free
03024511,0.03,ad_valorem,3%
03024550,0,free,Free
03024650,0,free,Free
03024700,0,free,Free
03024900,0,free,Free
03025100,0,free,Free
03025200,0,free,Free
03025300,0,free,Free
03025450,0,free,Free
03025550,0,free,Free
03025650,0,free,Free
03025950,0,free,Free
03027111,0.03,ad_valorem,3%
03027150,0,free,Free
03027250,0,free,Free
03027350,0,free,Free
03027400,0,free,Free
03027911,0.03,ad_valorem,3%
