naics,bea_detail_code
11111,1111A0
11112,1111A0
11113,1111B0
11114,1111B0
11115,1111B0
11116,1111B0
11119,1111B0
1112,111200
1113,111300
1114,111400
1119,111900
11211,1121A0
11213,1121A0
11212,112120
1122,112A00
1124,112A00
1125,112A00
1129,112A00
1123,112300
113,113000
114,114000
115,115000
211,211000
2121,212100
21221,2122A0
21222,2122A0
21229,2122A0
21223,212230
21231,212310
21232,2123A0
21239,2123A0
213111,213111
213112,21311A
213113,21311A
213114,21311A
213115,21311A
2211,221100
2212,221200
2213,221300
23*,233210
23*,233262
23*,2332A0
23*,233240
23*,2332C0
23*,233230
23*,2332D0
23*,233411
23*,233412
23*,2334A0
23*,230301
23*,230302
3211,321100
3212,321200
32191,321910
32192,3219A0
32193,3219A0
32194,3219A0
32195,3219A0
32196,3219A0
32197,3219A0
32198,3219A0
32199,3219A0
3271,327100
3272,327200
32731,327310
32732,327320
32733,327330
32739,327390
3274,327400
32791,327910
327991,327991
327992,327992
327993,327993
327999,327999
3311,331110
3312,331200
331313,331313
331314,331314
331315,33131B
331318,33131B
331410,331410
33142,331420
33149,331490
33151,331510
33152,331520
332111,33211A
332112,33211A
332117,33211A
332114,332114
332119,332119
3322,332200
33231,332310
33232,332320
33241,332410
33242,332420
33243,332430
3325,332500
3326,332600
33271,332710
33272,332720
3328,332800
332911,33291A
332912,33291A
332919,33291A
332913,332913
332991,332991
332992,33299A
332993,33299A
332994,33299A
332996,332996
332999,332999
333111,333111
333112,333112
33312,333120
33313,333130
333242,333242
333241,33329A
333243,33329A
333244,33329A
333249,33329A
333314,333314
333316,333316
333318,333318
333413,333413
333414,333414
333415,333415
333511,333511
333517,333517
333514,333514
333515,33351B
333519,33351B
333611,333611
333612,333612
333613,333613
333618,333618
333914,333914
333912,333912
33392,333920
333991,333991
333992,33399A
333997,33399A
333999,33399A
333993,333993
333994,333994
333995,33399B
333996,33399B
334111,334111
334112,334112
334118,334118
33421,334210
33422,334220
33429,334290
334413,334413
334418,334418
334412,33441A
334416,33441A
334417,33441A
334419,33441A
334510,334510
334511,334511
334512,334512
334513,334513
334514,334514
334515,334515
334516,334516
334517,334517
334519,33451A
3343,334300
33461,334610
33511,335110
33512,335120
33521,335210
335220,335220
335311,335311
335312,335312
335313,335313
335314,335314
335911,335911
335912,335912
33592,335920
33593,335930
335991,335991
335999,335999
336111,336111
336112,336112
33612,336120
336211,336211
336212,336212
336213,336213
336214,336214
33631,336310
33632,336320
33633,3363A0
33634,3363A0
33635,336350
33636,336360
33637,336370
33639,336390
336411,336411
336412,336412
336413,336413
336414,336414
336415,33641A
336419,33641A
3365,336500
336611,336611
336612,336612
336991,336991
336992,336992
336999,336999
33711,337110
337121,337121
337122,337122
337124,33712N
337125,33712N
337127,337127
337211,33721A
337212,33721A
337214,33721A
337215,337215
3379,337900
339112,339112
339113,339113
339114,339114
339115,339115
339116,339116
33991,339910
33992,339920
33993,339930
33994,339940
33995,339950
33999,339990
311111,311111
311119,311119
31121,311210
311221,311221
311224,311224
311225,311225
31123,311230
3113,311300
31141,311410
31142,311420
311511,31151A
311512,31151A
311513,311513
311514,311514
31152,311520
311611,31161A
311612,31161A
311613,31161A
311615,311615
3117,311700
