naics,bea_summary_code
11111,111CA
11112,111CA
11113,111CA
11114,111CA
11115,111CA
11116,111CA
11119,111CA
1112,111CA
1113,111CA
1114,111CA
1119,111CA
11211,111CA
11212,111CA
11213,111CA
1122,111CA
1123,111CA
1124,111CA
1125,111CA
1129,111CA
113,113FF
114,113FF
115,113FF
211,211
2121,212
21221,212
21222,212
21223,212
21229,212
21231,212
21232,212
21239,212
213111,213
213112,213
213113,213
213114,213
213115,213
221111,22
221112,22
221113,22
221114,22
221115,22
221116,22
221117,22
221118,22
221121,22
221122,22
2212,22
2213,22
23*,23
311111,311FT
311119,311FT
31121,311FT
311221,311FT
311224,311FT
311225,311FT
31123,311FT
3113,311FT
31141,311FT
31142,311FT
311511,311FT
311512,311FT
311513,311FT
311514,311FT
31152,311FT
311611,311FT
311612,311FT
311613,311FT
311615,311FT
3117,311FT
31181,311FT
31182,311FT
31183,311FT
31191,311FT
31192,311FT
31193,311FT
31194,311FT
31199,311FT
31211,311FT
31212,311FT
31213,311FT
31214,311FT
3122,311FT
3131,313TT
3132,313TT
3133,313TT
31411,313TT
31412,313TT
3149,313TT
315,315AL
316,315AL
3211,321
3212,321
32191,321
32192,321
32199,321
32211,322
32212,322
32213,322
32221,322
32222,322
32223,322
322291,322
322299,322
32311,323
32312,323
32411,324
324121,324
324122,324
32419,324
32511,325
32512,325
32513,325
32518,325
32519,325
325211,325
325212,325
32522,325
32531,325
32532,325
325411,325
325412,325
325413,325
325414,325
32551,325
32552,325
32561,325
32562,325
32591,325
32592,325
32599,325
32611,326
32612,326
32613,326
32614,326
32615,326
32616,326
32619,326
32621,326
32622,326
32629,326
3271,327
3272,327
32731,327
32732,327
32733,327
32739,327
3274,327
32791,327
327991,327
327992,327
327993,327
327999,327
3311,331
3312,331
331313,331
331314,331
331315,331
331318,331
331410,331
33142,331
33149,331
33151,331
33152,331
332111,332
332112,332
332114,332
332117,332
332119,332
3322,332
33231,332
33232,332
33241,332
33242,332
33243,332
3325,332
3326,332
33271,332
33272,332
3328,332
332911,332
332912,332
332913,332
332919,332
332991,332
332992,332
332993,332
332994,332
332996,332
332999,332
333111,333
333112,333
33312,333
33313,333
333241,333
333242,333
333243,333
333244,333
333249,333
333314,333
333316,333
333318,333
333413,333
333414,333
333415,333
333511,333
333514,333
333515,333
333517,333
333519,333
333611,333
333612,333
333613,333
333618,333
333912,333
333914,333
33392,333
333991,333
333992,333
333993,333
333994,333
333995,333
333996,333
333997,333
333999,333
334111,334
334112,334
334118,334
33421,334
33422,334
33429,334
3343,334
334412,334
334413,334
334416,334
334417,334
334418,334
334419,334
334510,334
334511,334
334512,334
334513,334
334514,334
334515,334
334516,334
334517,334
334519,334
33461,334
33511,335
33512,335
33521,335
335220,335
335311,335
335312,335
335313,335
335314,335
335911,335
335912,335
33592,335
33593,335
335991,335
335999,335
336111,3361MV
336112,3361MV
33612,3361MV
336211,3361MV
336212,3361MV
336213,3361MV
336214,3361MV
33631,3361MV
33632,3361MV
33633,3361MV
33634,3361MV
33635,3361MV
33636,3361MV
33637,3361MV
33639,3361MV
336411,3364OT
336412,3364OT
336413,3364OT
336414,3364OT
336415,3364OT
336419,3364OT
3365,3364OT
336611,3364OT
336612,3364OT
336991,3364OT
336992,3364OT
336999,3364OT
33711,337
337121,337
337122,337
337124,337
337125,337
337127,337
337211,337
337212,337
337214,337
337215,337
3379,337
339112,339
339113,339
339114,339
339115,339
339116,339
33991,339
33992,339
33993,339
33994,339
33995,339
33999,339
4231,42
4232,42
4233,42
4234,42
4235,42
4236,42
4237,42
4238,42
4239,42
4241,42
4242,42
4243,42
4244,42
4245,42
4246,42
4247,42
4248,42
4249,42
425,42
441,441
442,4A0
443,4A0
444,4A0
445,445
446,4A0
447,4A0
448,4A0
451,4A0
452,452
453,4A0
454,4A0
481,481
482,482
483,483
484,484
485,485
486,486
487,487OS
488,487OS
491,GFE
492,487OS
493,493
51111,511
51112,511
51113,511
51114,511
51119,511
51121,511
5121,512
5122,512
5151,513
5152,513
517311,513
517312,513
5174,513
5179,513
5182,514
51911,514
51912,514
51913,514
51919,514
521,521CI
5221,521CI
5222,521CI
5223,521CI
5231,523
5232,523
5239,523
524113,524
524114,524
52412,524
52413,524
5242,524
525,525
531,HS
531,ORE
5321,532RL
5322,532RL
5323,532RL
5324,532RL
533,532RL
5411,5411
5412,5412OP
5413,5412OP
5414,5412OP
541511,5415
541512,5415
541513,5415
541519,5415
54161,5412OP
54162,5412OP
54169,5412OP
5417,5412OP
5418,5412OP
54191,5412OP
54192,5412OP
54193,5412OP
54194,5412OP
54199,5412OP
55,55
5611,561
5612,561
5613,561
5614,561
5615,561
5616,561
5617,561
5619,561
562,562
6111,61
6112,61
6113,61
6114,61
6115,61
6116,61
6117,61
6211,621
6212,621
6213,621
6214,621
6215,621
6216,621
6219,621
622,622
6231,623
6232,623
6233,623
6239,623
6241,624
6242,624
6243,624
6244,624
7111,711AS
7112,711AS
7113,711AS
7114,711AS
7115,711AS
712,711AS
7131,713
7132,713
7139,713
721,721
7223,722
7224,722
722511,722
722513,722
722514,722
722515,722
8111,81
8112,81
8113,81
8114,81
8121,81
8122,81
8123,81
8129,81
8131,81
8132,81
8133,81
8134,81
8139,81
814,81
n.a.,42
n.a.,GFE
n.a.,GFGD
n.a.,GFGN
n.a.,GSLE
n.a.,GSLG
n.a.,HS
n.a.,Other
n.a.,Used
