gtap_code,canada,mexico
pdr,0.99953805,0.999687761
wht,0.99953805,0.999687761
gro,0.99953805,0.999687761
v_f,0.99953805,0.999687761
osd,0.99953805,0.999687761
c_b,0.99953805,0.999687761
pfb,0.99953805,0.999687761
ocr,0.99953805,0.999687761
ctl,0.999533788,0.999710843
oap,0.999533788,0.999710843
rmk,0.999533788,0.999710843
wol,0.996255919,0.968843081
frs,0.996255919,0.968843081
fsh,0.999488794,1
coa,0.992971676,0.628275433
oil,0.992971676,0.628275433
gas,0.992971676,0.628275433
oxt,0.962631343,0.998618755
cmt,0.973456772,0.994530789
omt,0.973456772,0.994530789
vol,0.973456772,0.994530789
mil,0.973456772,0.994530789
pcr,0.973456772,0.994530789
sgr,0.973456772,0.994530789
ofd,0.973456772,0.994530789
b_t,0.962579275,0.943763428
tex,0.0732217,0.10938059
wap,0.721587728,0.966848336
lea,0.944758421,0.984537571
lum,0.998643402,0.986419325
ppp,0.987554529,0.894823771
p_c,0.970734107,0.727844165
chm,0.973238282,0.952976491
bph,0.973238282,0.952976491
rpp,0.979047023,0.936490744
nmm,0.977878429,0.967786491
i_s,0.481595421,0.837819093
nfm,0.481595421,0.837819093
fmp,0.626331655,0.68028047
ele,0.803074571,0.957379981
ely,1,1
eeq,0.880338398,0.899658376
ome,0.894918698,0.729204176
mvh,0.91364601,0.714498691
otn,0.91364601,0.714498691
omf,0.074251513,0.106442197
